county,state,year,number_of_inmates_booked,average_daily_population
Winnebago,Illinois,2016,11709,424.4
Winnebago,Illinois,2015,11858,429.2
Winnebago,Illinois,2014,13580,546.3
Winnebago,Illinois,2013,14132,670.2
Winnebago,Illinois,2012,14797,672.8
Winnebago,Illinois,2011,14191,541.3
Winnebago,Illinois,2010,15560,628.3
Winnebago,Illinois,2009,17460,667.4
Winnebago,Illinois,2008,19560,656.6
Winnebago,Illinois,2007,20198,705.1
Winnebago,Illinois,2006,20786,723.6
Winnebago,Illinois,2005,16273,728.8
Winnebago,Illinois,2004,16287,779.1
Winnebago,Illinois,2003,15976,710.2
Winnebago,Illinois,2002,17990,704
Winnebago,Illinois,2001,17656,689
Winnebago,Illinois,2000,6807,511.1
Winnebago,Illinois,1999,16717,511
Winnebago,Illinois,1998,15760,511
Winnebago,Illinois,1997,18296,551
Winnebago,Illinois,1996,16838,471
Winnebago,Illinois,1995,13525,362
Winnebago,Illinois,1994,13525,362
Winnebago,Illinois,1993,13525,362
Winnebago,Illinois,1992,13525,362
Winnebago,Illinois,1991,13525,362
Winnebago,Illinois,1990,12559,334.7
Winnebago,Illinois,1989,9331,121
Winnebago,Illinois,1988,8917,138
Winnebago,Illinois,1987,10776,249
Winnebago,Illinois,1986,11965,235
Winnebago,Illinois,1985,10371,224
Winnebago,Illinois,1984,11260,231
Winnebago,Illinois,1983,11808,236
Winnebago,Illinois,1982,10676,192
Winnebago,Illinois,1981,10029,199
