county,state,year,number_of_inmates_booked,average_daily_population
McLean,Illinois,2016,5699,228.6
McLean,Illinois,2015,5954,232
McLean,Illinois,2014,5868,250.8
McLean,Illinois,2013,6628,250.3
McLean,Illinois,2012,6305,245.6
McLean,Illinois,2011,6350,238.9
McLean,Illinois,2010,6604,251.6
McLean,Illinois,2009,7174,249.3
McLean,Illinois,2008,7367,278.7
McLean,Illinois,2007,7631,246.1
McLean,Illinois,2006,7746,236.6
McLean,Illinois,2005,7886,220.7
McLean,Illinois,2004,7334,207.3
McLean,Illinois,2003,6910,223.3
McLean,Illinois,2002,6756,216.7
McLean,Illinois,2001,,208.1
McLean,Illinois,2000,6259,197
McLean,Illinois,1999,6434,207.9
McLean,Illinois,1998,,219.2
McLean,Illinois,1997,6313,223
McLean,Illinois,1996,6181,193
McLean,Illinois,1995,5584,222
McLean,Illinois,1994,5101,205.5
McLean,Illinois,1993,4618,189
McLean,Illinois,1992,4135,172.5
McLean,Illinois,1991,3652,156
McLean,Illinois,1990,3633,131.6
McLean,Illinois,1989,3339,129
McLean,Illinois,1988,3006,127
McLean,Illinois,1987,2756,126
McLean,Illinois,1986,2121,114
McLean,Illinois,1985,2079,88
McLean,Illinois,1984,2075,85
McLean,Illinois,1983,2067,87
McLean,Illinois,1982,1979,94
McLean,Illinois,1981,2002,90
