county,state,year,number_of_inmates_booked,average_daily_population
Greene,Illinois,2016,666,17
Greene,Illinois,2015,667,15.6
Greene,Illinois,2014,564,9.7
Greene,Illinois,2013,509,10.7
Greene,Illinois,2012,590,8.9
Greene,Illinois,2011,537,9.6
Greene,Illinois,2010,547,10.8
Greene,Illinois,2009,437,9.1
Greene,Illinois,2008,452,11.2
Greene,Illinois,2007,342,8.7
Greene,Illinois,2006,281,7.8
Greene,Illinois,2005,291,8.2
Greene,Illinois,2004,360,8.1
Greene,Illinois,2003,374,8.7
Greene,Illinois,2002,372,8.1
Greene,Illinois,2001,246,6.8
Greene,Illinois,2000,308,7.2
Greene,Illinois,1999,239,5.7
Greene,Illinois,1998,215,6
Greene,Illinois,1997,179,8
Greene,Illinois,1996,216,9
Greene,Illinois,1995,185,8
Greene,Illinois,1994,190.8,7.5
Greene,Illinois,1993,196.5,7
Greene,Illinois,1992,202.2,6.5
Greene,Illinois,1991,208,6
Greene,Illinois,1990,168,5.2
Greene,Illinois,1989,173,7
Greene,Illinois,1988,279,8
Greene,Illinois,1987,296,8
Greene,Illinois,1986,246,9
Greene,Illinois,1985,296,8
Greene,Illinois,1984,258,5
Greene,Illinois,1983,325,5
Greene,Illinois,1982,400,8
Greene,Illinois,1981,381,5
