county,state,year,number_of_inmates_booked,average_daily_population
Ogle,Illinois,2016,2175,97.6
Ogle,Illinois,2015,2427,106.2
Ogle,Illinois,2014,2297,113.3
Ogle,Illinois,2013,2306,122.5
Ogle,Illinois,2012,2127,110.9
Ogle,Illinois,2011,1924,117.7
Ogle,Illinois,2010,2001,94.7
Ogle,Illinois,2009,2176,91.1
Ogle,Illinois,2008,2472,81.9
Ogle,Illinois,2007,2483,84
Ogle,Illinois,2006,2430,88.1
Ogle,Illinois,2005,2669,97.7
Ogle,Illinois,2004,2454,86.6
Ogle,Illinois,2003,11180,187.5
Ogle,Illinois,2002,2885,103.1
Ogle,Illinois,2001,3440,89.1
Ogle,Illinois,2000,3785,89.4
Ogle,Illinois,1999,3596,94.1
Ogle,Illinois,1998,3144,75
Ogle,Illinois,1997,3914,60
Ogle,Illinois,1996,2639,65
Ogle,Illinois,1995,2078,56
Ogle,Illinois,1994,1952.5,53.3
Ogle,Illinois,1993,1827,50.5
Ogle,Illinois,1992,1701.5,47.8
Ogle,Illinois,1991,1576,45
Ogle,Illinois,1990,1608,32.9
Ogle,Illinois,1989,1337,32
Ogle,Illinois,1988,1134,26
Ogle,Illinois,1987,1217,37
Ogle,Illinois,1986,1135,30
Ogle,Illinois,1985,1300,35
Ogle,Illinois,1984,1470,31
Ogle,Illinois,1983,1112,27
Ogle,Illinois,1982,1129,28
Ogle,Illinois,1981,1437,32
