county,state,year,number_of_inmates_booked,average_daily_population
Lake,Illinois,2016,6838,138.8
Lake,Illinois,2015,7205,142
Lake,Illinois,2014,7353,155.1
Lake,Illinois,2013,8164,169.4
Lake,Illinois,2012,8331,160.1
Lake,Illinois,2011,8797,172.8
Lake,Illinois,2010,9184,178
Lake,Illinois,2009,9815,185.7
Lake,Illinois,2008,1944,116.6
Lake,Illinois,2007,9876,501.6
Lake,Illinois,2006,10335,649.1
Lake,Illinois,2005,10539,652.5
Lake,Illinois,2004,10875,639
Lake,Illinois,2003,11207,651.9
Lake,Illinois,2002,11118,637.9
Lake,Illinois,2001,11643,623.4
Lake,Illinois,2000,12289,611.5
Lake,Illinois,1999,12502,682.7
Lake,Illinois,1998,11497,630
Lake,Illinois,1997,10513,574
Lake,Illinois,1996,9792,553
Lake,Illinois,1995,9509,525
Lake,Illinois,1994,10022.8,490.5
Lake,Illinois,1993,10536.5,456
Lake,Illinois,1992,11050.3,421.5
Lake,Illinois,1991,11564,387
Lake,Illinois,1990,11545,277.1
Lake,Illinois,1989,8999,197
Lake,Illinois,1988,7385,114
Lake,Illinois,1987,7472,134
Lake,Illinois,1986,7310,221
Lake,Illinois,1985,6444,167
Lake,Illinois,1984,6406,90
Lake,Illinois,1983,7413,104
Lake,Illinois,1982,7337,115
Lake,Illinois,1981,6943,144
