agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Alexandria Police Department,2023,Louisiana,43461,LA04001,8350390,20101039,8886913,13810025,6037008,5648433,62833808,2966394,9765007,10165398,1141377,3480786,6727743,8691124,975554,3099268,15965276,40081128,8333822,7300145,4600974,20234941,8431711,9100401,11931772,11104200,14634411,8204783,1005771,10701444,5200179,1512915537,1095508970,33968817,808694002,781566648,1907146525,865528327,1402654653,2513004275,947922484,126461943,350601291,319511233,746141164,439435102,203300002,875851234,2218374064,1771070612,3201201048,804404165,1150839039,504461043,1780552166,911719268,1752117655,570804855,859612306,2340437200,809006630,1561226983,1513103411,501344577,733563363,990725633,4728513,252881009,319585001,2371525364,1050130153,681048000,2823115924,930508502,74783680,803312642,159765640,778574207,2766625252,2028054000,2008672589,654164591,3034840,1374418662,90190312,661646984,1190264198
Alexandria Police Department,2022,Louisiana,44349,LA04001,13170322,12124181,8242360,4310035,9565009,3722590,51134497,9833035,4365005,12312043,856742,8090004,15518194,9045121,10122743,5929419,5179813,54742036,6277195,5940843,4345904,16563942,9322585,7800292,5671060,4500070,18036485,7018839,704458,14800172,4700160,1617264430,2005368653,751064655,198055322,1293750781,1507737360,141629581,1782317735,941214107,582587789,399894020,1529575747,445926144,859989850,772216931,444576772,1432090097,1565550703,1348624441,2285652839,941116882,845319496,5929677,979729712,1186222108,1346760283,1562800451,527341047,1513466226,1433066738,1565571969,1373069965,266866346,1608007854,1614182414,19542314,577103346,654438863,2319893692,1441584795,593503734,2234681615,156696820,138129584,1060256526,238153360,826436462,2550528324,696592444,2479155724,1344100987,25851313,1668891227,40204536,178720055,1186411969
Alexandria Police Department,2021,Louisiana,45343,LA04001,9730398,17538268,12877479,3450056,3390024,8850869,55837094,6959264,6369018,17135013,1116726,10850005,11642760,8583402,2860016,7700981,7173644,49927534,1935469,12740075,5479285,20154829,6280124,9301680,12651711,5165594,23138327,5386432,904190,8302723,1500219,1538997627,361244089,279332907,623177570,921039946,2236702907,1060183612,527383749,2880937074,1578368443,91170211,2045778266,700354477,919767091,387377984,124143228,2135661400,2309888251,1448425894,2482863246,1133369064,1146581906,5259070,1804336368,1915468406,2762570641,819865664,914723775,1109207108,2096053535,950378759,1026136307,621352558,705912210,2362001285,21777946,786479857,571414108,1407230668,1493283444,302595703,2939751192,214178392,270861303,1093614336,194426406,1015564860,2058995904,1978078131,2453875712,1285289288,25250695,2688389280,258663216,1655784741,870042658
Alexandria Police Department,2020,Louisiana,45986,LA04001,9890652,7117574,17767103,13710660,6866037,21121081,76473107,9356580,13207382,8264732,1641130,10482209,6042821,5902191,263643,2561469,9137225,36030688,3923987,7750071,4821667,16495725,10671388,20600427,14212293,1207493,22227297,7149149,803656,20501182,10284042,1818962865,1106909748,527789357,1202367918,1059562182,1969584961,1454203309,1611153632,2571255161,705459120,699915016,1521397918,229803089,1455648738,803763858,1069289592,3051428953,1460845570,1608570712,2770981303,481658539,1192227335,830337688,2286052312,1405105228,1037967468,1998643496,1044448074,3145983494,1700181111,2795042670,959755440,253637704,400310889,1684278825,3765000,1698965106,1177391350,2064107255,1785594444,989116734,2961572841,895856253,23719336,521425599,1003389905,2096400209,1370758901,575909875,4389957078,1177690320,13857732,3128194417,197137131,1083652424,1764964528
Alexandria Police Department,2019,Louisiana,46630,LA04001,23530864,23643263,11167792,12150076,8574020,22828487,101894502,2555209,9433895,3832076,2344128,10535961,18067264,3905812,598435,7118433,16766932,59336965,10309109,14550083,7022488,31881680,10643358,18702472,28471639,7057261,16079592,18418061,2024447,10103237,8540033,2100774846,2128588363,1133072170,1108822994,848578635,3332170040,662773620,2643504747,2349110315,1048961594,1121686408,1850719150,982279421,884105352,335668668,140599650,1607768183,2143517491,1637078065,3012723136,489434164,1305564488,128630706,1445553619,721369634,1232372652,1526534190,1169939285,2052819839,1427828188,1914464228,851143522,790170435,2208142385,739445135,25366838,543520348,1126742290,1572698740,1547682328,238445811,2214968363,871212549,601253618,1528101661,138900692,1944243938,2061665248,697435123,3943148246,1672446292,9793217,2064288966,100679393,1753638402,1498299165
Alexandria Police Department,2018,Louisiana,47238,LA04001,316,267,243,24,93,53,996,283,12,17,1,4,1,64,8,26,24,128,729,854,1111,2694,107,112,7,567,614,2,4,912,369,205474,324465,433149,330976,48566,163994,1506625,2679532,0,0,24,751,0,65342,61036,19957,49758,196869,11878,100242,2110582,2222702,9285259,66156,23804,1204,230944,980210,334,152,218472,701427,197145,81461,455583,144334,261243,298211,1456,2679532,1802499,4615,679648,6605728,49379,14496,1668,16918,10058,2785,0,2018966,580634,629,33935,2729468
Alexandria Police Department,2017,Louisiana,47860,LA04001,310,218,259,16,130,54,987,257,17,9,0,7,0,53,18,25,26,129,841,944,1168,2953,122,133,6,544,608,0,2,1111,427,197226,389636,334087,242882,16190,123905,1303925,2288622,0,0,0,6133,0,34319,13976,46518,41118,142065,16237,113345,1472374,1601956,5336568,72434,37224,2189,265575,657419,0,1156,190418,375541,180078,84492,296622,113167,220575,339925,0,2288622,1140676,746,671666,5336568,73730,23124,3154,27447,4258,40015,0,1488829,250974,746,50697,1962973
Alexandria Police Department,2016,Louisiana,47936,LA04001,287,249,207,24,196,80,1043,276,12,25,1,12,0,62,21,36,24,156,739,785,1208,2732,98,71,16,607,560,2,4,912,462,214148,272238,304246,578864,8243,241867,1619606,2424345,0,0,13965,16524,0,62862,23818,17724,28682,163575,14060,99157,1671240,1784457,5991983,76280,15544,2270,304172,382139,1587,891,209231,792343,154763,121590,368088,100629,193673,249548,5078,2424345,1656119,3821,714329,5991983,68673,24063,1002,4596,5550,3479,0,1647720,565306,0,41731,2362120
Alexandria Police Department,2015,Louisiana,48305,LA04001,283,304,223,20,130,51,1011,241,7,11,1,2,1,85,16,44,19,168,778,841,1175,2794,87,110,5,681,552,3,3,958,395,310199,293871,318876,235631,3980,68831,1231387,2070031,0,0,5048,3600,450,53724,11570,40132,27759,142283,15031,107089,1571847,1693967,5137668,52238,30327,489,376578,581631,1748,2044,184941,463972,158563,95794,342879,97183,219060,415150,0,2070031,1089302,80428,569278,5137668,55828,16000,2077,7569,7868,26539,0,1184108,148130,5223,22416,1475759
Alexandria Police Department,2014,Louisiana,48618,LA04001,264,344,211,17,185,52,1073,204,9,9,0,4,0,87,19,42,18,170,643,719,1122,2484,83,68,22,588,512,1,0,827,383,445085,324221,309467,365502,22805,92908,1559988,1805792,0,0,0,1411,0,42375,7272,27391,7939,86387,13792,95495,1549643,1658930,5111097,140737,27536,8714,336097,463063,13,0,167881,514889,134702,83680,277697,110519,390648,334660,0,1805792,1304639,191253,477507,5111097,49553,20364,5905,11029,7120,17049,0,1233100,177495,28563,25035,1575215
