agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
East Taylor Township Police Department,2013,Pennsylvania,2661,PA01126,0,1,6,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,6,13,19,0,0,0,4,10,1,0,0,4,523,0,2282,65,0,0,2871,0,0,0,0,0,0,0,0,0,0,0,0,681,32446,33127,35998,0,0,0,8529,18690,78,0,0,5830,0,0,3770,1144,2210,18541,0,0,8502,0,1831,35998,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2012,Pennsylvania,2707,PA01126,3,5,5,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,2,1,9,12,0,0,0,0,8,0,0,0,4,5707,2522,3729,0,0,0,11957,0,0,0,0,0,0,0,0,0,0,0,86,133,6583,6802,18759,0,0,0,0,5262,0,0,0,1539,664,2973,5242,1460,1752,3305,0,0,975,0,2389,18759,0,0,0,0,0,265,0,0,0,0,1194,1460
East Taylor Township Police Department,2011,Pennsylvania,2735,PA01126,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,8,14,0,0,0,0,2,0,0,1,11,0,0,677,0,0,0,677,27092,0,0,0,0,0,0,0,0,0,0,12,765,21606,22383,50153,0,0,0,0,765,0,0,12,21606,0,12,16208,0,0,1219,0,27092,5215,0,406,50153,0,12,0,0,0,0,0,0,0,0,0,12
East Taylor Township Police Department,2010,Pennsylvania,2726,PA01126,3,2,2,0,1,0,8,1,0,0,0,0,0,0,0,0,1,1,1,3,6,10,0,0,0,1,2,0,0,0,7,489,11319,5588,0,0,0,17396,0,0,0,0,0,0,0,0,0,10760,10760,0,324,4367,4691,32846,0,0,0,0,1397,0,0,0,3294,0,0,21005,699,0,3074,0,0,2480,0,5588,32846,0,0,4564,0,0,0,0,0,314,0,0,4878
East Taylor Township Police Department,2009,Pennsylvania,2498,PA01126,1,0,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,10,7,18,1,0,0,0,0,0,0,0,17,0,0,3480,0,0,0,3480,0,0,0,0,0,0,0,0,0,0,0,43,1183,8753,9979,13459,1432,0,0,0,0,0,0,0,8547,0,0,920,568,71,57,0,0,11842,0,0,13459,0,0,0,0,0,0,0,0,746,0,0,746
East Taylor Township Police Department,2008,Pennsylvania,2522,PA01126,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,3,9,15,1,0,0,0,3,0,0,1,10,0,0,0,0,0,0,0,4246,0,0,0,0,0,0,0,0,0,0,113,495,7944,8552,12798,212,0,0,0,410,0,0,14,7915,0,0,3425,0,0,0,0,4246,4774,0,354,12798,0,0,0,0,0,0,0,0,71,0,0,71
East Taylor Township Police Department,2007,Pennsylvania,2571,PA01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2006,Pennsylvania,2620,PA01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2005,Pennsylvania,2641,PA01126,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,468,1014,0,0,0,0,0,0,0,0,0,0,0,0
East Taylor Township Police Department,2004,Pennsylvania,2674,PA01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
