agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Contra Costa Community College District Police,2023,California,0,CA00721,1000000,5010000,4950000,0,100001,2,11060003,444097,200,0,845,600000,225345,2430,0,10297,20000,858917,3642000,7901000,2,11543002,0,100021,100000,0,7290009,0,0,10,100002,100,107,1000000,3032019,452000135,65034842,0,10270000,0,200000000,10744762,550000000,40000000,932700210,151,0,10150000,41034,701000000,101,250,1063455000,334400262,54000000,200000,762073582,1,132500011,372202006,983000000,34992,285034126,200010000,0,10001287,0,10210044,211000005,900049510,100000,0,4000,950004093,340710008,780002000,268000493,760010200,0,610020000,549500,28062001,2535,20001000,443470302,38712000,100000,535001033,4500000,1000032,768710000
Contra Costa Community College District Police,2022,California,0,CA00721,600000,5000000,1100,0,100002,5,5701107,255670,40,0,3795,20000,50748,20000,10,507,1130000,1225060,2622010,11,1,2622022,1,0,5100000,27,5830019,3000000,37,6300010,100001,1000100,10,0,1025500,1673149664,740332452,1041163,114527972,0,0,10415290,208232677,62469806,1358718320,52058170,846465831,10411637,106817,0,104,2603,52058172,509337174,41646639,208233,338424205,0,31234902,381274034,324842976,312349,806935883,10412,208232687,20827199,52058,21656224,1458708,104116380,105158,0,6247,896754084,530993328,426879072,1206,0,26029085,1052616181,353996,2852788,520581774,312351097,124314992,5533783,104116,165857697,0,2082327,1089056902
Contra Costa Community College District Police,2021,California,0,CA00721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa Community College District Police,2020,California,0,CA00721,69,1000000,5600000,2710000,100000,300013,9710082,769551,100,0,14953,5030010,412200,20030,0,9765322,42000,15284515,1440011,8000011,22004,9462026,9,3100002,100000,1,20,0,325,10,200007,10,300,10,14630,1166363347,101683,825296312,11949723,126,0,36292101,0,117731238,280791348,353,0,11773124,23826,591046120,894875,386,58865618,485052778,25900876,2814012,459164041,176597,82411879,1912073231,1060758429,6876776,1096269587,11773,35437102,706388048,185015,70662382,306102392,3898,119497,0,4736740,718174899,886928263,588656176,588656674,0,0,1141993327,470925,9,682841209,1141995336,1440853755,42559844,117731,505032314,0,4,341432355
Contra Costa Community College District Police,2019,California,0,CA00721,10019,0,2300000,3410000,100001,4,5820024,1008051,505000,0,25495,46,6514250,2200000,237000,342,40000,9017133,3329002,4000001,40008,7369011,1,0,3100000,2,7330008,805,15,10,1900001,100,4020,20,2026280,761463701,358817731,1072651944,11918355,6,23955893,19549083,1072651944,10726523,991011620,11922648,1191864,12025620,595980415,597449255,238367,668620671,59591776,120137164,23836715,130,597184658,393890,71510132,348731546,903411782,598539904,214684553,4779260,119302747,595921539,60575,36947109,10,238372522,121329,0,88795737,10848725,382996358,1001143006,1132244553,18235,858122,1252646963,476734,32658683,60,357550652,897632157,2135176,119827,173520082,0,1192,813189357
Contra Costa Community College District Police,2018,California,0,CA00721,0,0,0,5,1,6,12,3,0,0,0,0,0,0,0,1,0,1,28,20,60,108,1,14,0,35,29,0,1,4,24,0,2,4,2,0,0,0,2008,2227,5460,9695,60114,0,0,0,0,0,0,0,0,0,0,575,3100,57978,61653,191576,849,5914,0,20576,12479,0,295,451,21088,1383,97,1910,425,24,0,0,4963,87942,1577,33140,131462,303,50,0,0,0,0,0,4963,2585,0,1274,9175
Contra Costa Community College District Police,2017,California,0,CA00721,0,0,0,3,8,9,20,11,0,0,0,0,0,0,0,4,0,4,35,38,72,145,5,12,2,39,33,0,1,5,48,1,5,6,3,0,0,0,12863,472,9360,22696,30089,0,0,0,0,0,0,0,1866,0,1866,810,5343,102943,109096,163746,1560,3288,75,23820,16327,0,186,1292,62549,1754,256,8109,0,199,553,0,22630,85439,5242,39565,163746,0,178,62,0,0,0,0,15793,3911,45,3624,23612
Contra Costa Community College District Police,2016,California,0,CA00721,1,1,0,3,2,13,20,29,0,0,0,0,0,3,0,2,0,5,37,36,108,181,5,31,0,53,77,0,0,0,15,5,8,13,0,0,1016,0,0,813,11978,13806,108722,0,0,0,0,0,1885,0,2444,0,4329,554,4822,110810,116186,243043,38,22592,0,25489,49529,0,0,0,18538,6589,688,3395,0,0,444,0,108773,85099,34405,3650,243043,394,305,0,0,0,0,0,58302,1607,0,0,60607
Contra Costa Community College District Police,2015,California,0,CA00721,0,0,0,5,1,11,17,21,0,0,0,0,0,1,0,2,0,3,29,35,92,156,6,31,1,45,54,0,0,0,19,0,6,6,0,0,0,0,643,15273,11695,27610,47110,0,0,0,0,0,0,0,3255,0,3255,571,4811,104542,109924,187899,212,22080,0,35649,38030,0,0,0,13954,7838,713,22275,257,0,0,0,35996,74789,34498,11532,187899,138,40,0,0,0,0,0,16455,444,1960,0,19037
Contra Costa Community College District Police,2014,California,0,CA00721,0,0,0,5,1,15,21,18,0,0,0,0,0,2,0,3,0,5,20,42,85,147,4,36,0,31,60,0,0,0,16,0,8,8,1,0,0,0,100,6304,7934,14338,32203,0,0,0,0,0,359,0,1039,0,1398,382,5767,87866,94016,141955,708,19324,0,32305,28423,0,0,0,13256,4879,763,6493,0,1362,0,0,31663,58783,27254,10758,141955,58,0,708,0,0,0,0,7851,1102,0,0,9719
Contra Costa Community College District Police,2013,California,0,CA00721,0,0,0,5,5,18,28,23,0,0,0,0,0,7,0,0,0,7,26,47,87,160,1,39,0,23,77,0,0,1,19,0,6,6,0,0,0,0,3785,1322,34925,40033,46799,0,0,0,0,0,1648,0,0,0,1648,409,7207,91525,99142,187622,0,21017,0,12997,45334,0,0,9,19784,5781,935,4306,0,392,1893,0,46799,99263,26762,1490,187622,1061,30,26,0,0,0,0,16480,7969,0,0,25567
Contra Costa Community College District Police,2012,California,0,CA00721,1,0,0,3,1,15,20,23,0,0,0,0,0,3,0,2,0,5,59,60,107,226,9,32,2,50,117,0,1,0,15,0,9,9,0,0,2654,0,0,2186,15396,20236,93408,0,0,0,0,0,664,0,425,0,1088,944,8906,100091,109941,224673,5600,19476,0,24983,51176,0,13,0,8693,8540,5355,2453,0,37,1155,0,86629,90086,17218,13201,224673,252,15,5,0,0,199,0,31785,1311,0,531,34098
Contra Costa Community College District Police,2011,California,0,CA00721,0,1,1,3,3,11,19,21,0,0,0,0,0,3,0,5,0,8,91,32,87,210,7,15,1,55,111,1,0,0,20,1,2,3,0,786,0,95,406,469,1979,3735,0,0,0,0,0,0,42,0,3309,0,3351,1081,4686,99536,105302,112388,244,6008,0,28899,46884,271,0,0,22997,2995,165,3094,0,3657,3382,0,0,38517,13098,47480,112388,34,73,0,0,0,0,0,17610,1834,0,0,19551
Contra Costa Community College District Police,2010,California,0,CA00721,0,0,0,5,4,2,11,15,0,0,0,0,0,0,1,3,0,4,61,39,106,206,8,21,0,50,112,0,0,0,15,0,0,0,0,0,0,0,75271,1413,391,77075,0,0,0,0,0,0,0,1258,461,0,1719,579,6488,176355,183421,262216,748,12379,0,85792,80288,0,0,0,4214,964,447,2262,0,321,3913,0,0,42210,2166,209932,262216,0,11,0,0,0,0,0,0,2146,0,838,2996
Contra Costa Community College District Police,2009,California,0,CA00721,0,0,0,1,4,2,7,23,0,1,0,0,0,0,0,10,0,10,66,48,93,207,4,19,1,54,105,2,0,0,22,1,1,2,0,0,0,0,142,0,0,142,6576,0,0,0,0,0,0,0,1129,0,1129,375,7324,80491,88191,96038,0,12307,0,25071,43524,0,0,0,7289,92,7,3500,0,0,540,0,6576,31186,0,54137,96038,0,7,128,0,0,0,0,4261,1697,0,0,6093
Contra Costa Community College District Police,2008,California,0,CA00721,0,0,0,0,1,0,1,35,0,0,0,0,0,1,0,13,0,14,34,42,68,144,1,17,12,16,81,0,0,0,17,0,1,1,0,0,0,0,0,0,0,0,16983,0,0,0,0,0,0,0,767,0,767,572,7409,81842,89823,107573,0,7822,5116,14786,42092,0,0,0,20007,64,0,3963,0,0,0,0,16983,55341,1274,29949,107573,0,0,0,0,0,0,0,14152,0,0,0,14152
Contra Costa Community College District Police,2007,California,0,CA00721,0,0,0,2,0,4,6,20,0,0,0,0,0,6,0,8,0,14,60,36,76,172,4,6,0,56,80,0,0,0,26,1,6,7,0,0,0,0,0,514,4519,5033,19104,0,0,0,0,0,603,0,683,0,1286,939,5830,89132,95900,121324,0,2278,0,31485,36251,0,0,0,25886,1955,0,2090,0,62,514,0,17635,47969,11454,39646,121324,0,0,0,0,0,0,0,17635,548,0,0,18183
Contra Costa Community College District Police,2006,California,0,CA00721,0,0,0,2,3,14,19,22,0,1,0,0,0,12,0,1,0,13,51,53,82,186,6,11,3,75,49,0,3,2,37,1,9,10,2,0,0,0,4048,2539,4902,11489,128287,0,0,0,0,0,1703,0,0,0,1703,1253,10017,103497,114767,256246,650,6590,774,60036,26168,0,1217,2,19330,6371,636,7483,0,196,514,0,123745,64131,16800,36369,256246,370,0,53,0,0,0,0,101042,2033,2645,76,106219
Contra Costa Community College District Police,2005,California,0,CA00721,0,0,0,8,1,17,26,33,0,0,0,0,0,16,0,0,0,16,58,70,140,268,1,14,2,117,81,0,0,0,53,1,23,24,0,0,0,0,1545,6461,59186,67192,217514,0,0,0,0,0,2821,0,0,0,2821,1691,12268,187971,201931,489458,0,7252,0,118201,44954,0,0,0,31525,6581,108,8574,0,87,1233,331,216021,141882,68594,46047,489458,0,0,23,0,0,0,0,156732,16877,0,546,174179
