agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
Damascus Police Department,2023,Virginia,788,VA09402,10,5010000,10,5100000,100000,5400000,15610020,65300,2260,40,12315,610000,4,0,10016,16000,30000,678335,510001,1500002,1,2010004,0,6000000,0,0,1000,0,0,11,2,110,0,11,5006530,62000103,823020061,600000000,33130000,1000,54008000,173000184,265000100,20000002,278300000,603000423,1000,10115000,40528,501500000,100,58000146,11700000,1000000,8,0,184003000,14,15000001,15600238,100000000,100000,15030558,10000,15000019,684000015,153000,20100006,530000000,1700,102590,40,0,208000027,560000002,860000001,625,260000000,100000,123010000,4300000,10250004,149205006,170000000,27850608,10036003,100000,6160400,50,160006,184000000,1,1
Damascus Police Department,2023,Virginia,788,VA09402,10,5010000,10,5100000,100000,5400000,15610020,65300,2260,40,12315,610000,4,0,10016,16000,30000,678335,510001,1500002,1,2010004,0,6000000,0,0,1000,0,0,11,2,110,0,11,5006530,62000103,823020061,600000000,33130000,1000,54008000,173000184,265000100,20000002,278300000,603000423,1000,10115000,40528,501500000,100,58000146,11700000,1000000,8,0,184003000,14,15000001,15600238,100000000,100000,15030558,10000,15000019,684000015,153000,20100006,530000000,1700,102590,40,0,208000027,560000002,860000001,625,260000000,100000,123010000,4300000,10250004,149205006,170000000,27850608,10036003,100000,6160400,50,160006,184000000,1,1
Damascus Police Department,2022,Virginia,782,VA09402,0,1000060,0,800000,120000,4352000,6272060,831001,75000,500000,16765,10000,5018520,3000,3600,21066,0,5072951,1969002,2,160004,2129008,1,8000001,0,0,75001,2960,0,12,3,110,4100,38,33104,128583678,326947163,312349015,10422045,917264941,36440741,222809417,208232781,114527973,104,832931036,2085,10703160,70806,520581692,312352,347748639,301416801,192094753,22884775,104116,36483475,104118,0,52891207,937047056,312453131,323815552,12494,37690114,142,128355,208371,926749941,364407184,104783,50965031,52058169,97871232,135351246,791284172,1145,0,8329307,326925936,5309933,82324888,115308855,707991101,633809261,92221049,625406,103732742,10,19,734030598,1,1.04116338383745
Damascus Police Department,2022,Virginia,782,VA09402,0,1000060,0,800000,120000,4352000,6272060,831001,75000,500000,16765,10000,5018520,3000,3600,21066,0,5072951,1969002,2,160004,2129008,1,8000001,0,0,75001,2960,0,12,3,110,4100,38,33104,128583678,326947163,312349015,10422045,917264941,36440741,222809417,208232781,114527973,104,832931036,2085,10703160,70806,520581692,312352,347748639,301416801,192094753,22884775,104116,36483475,104118,0,52891207,937047056,312453131,323815552,12494,37690114,142,128355,208371,926749941,364407184,104783,50965031,52058169,97871232,135351246,791284172,1145,0,8329307,326925936,5309933,82324888,115308855,707991101,633809261,92221049,625406,103732742,10,19,734030598,1,1.04116338383745
Damascus Police Department,2021,Virginia,772,VA09402,5000000,3050044,5000,6110000,110000,2600,14277644,130000,0,20,10033,1500000,445,0,69,10000,0,1520547,1100000,0,3,1100003,7,1000000,1,0,806000,0,0,1100010,1,140,1000000,23,13000,36433671,990739326,674691363,11244856,1126,577985601,57348782,0,22489712,134938500,901,4723964,168673,337396387,112451147,112449,57461226,3,5622428,0,0,15742798,56224,0,4048598,127291771,843476652,82133897,11245,138311731,17766955,18,15,236142,11245418,112449,89959,1124,163050918,0,236143102,506,11245,9108333,990671818,0,12094971,2316444,517263383,505130741,22493,115968,3891282,2261374,56595364,15742798,1,1.12448560525052
Damascus Police Department,2021,Virginia,772,VA09402,5000000,3050044,5000,6110000,110000,2600,14277644,130000,0,20,10033,1500000,445,0,69,10000,0,1520547,1100000,0,3,1100003,7,1000000,1,0,806000,0,0,1100010,1,140,1000000,23,13000,36433671,990739326,674691363,11244856,1126,577985601,57348782,0,22489712,134938500,901,4723964,168673,337396387,112451147,112449,57461226,3,5622428,0,0,15742798,56224,0,4048598,127291771,843476652,82133897,11245,138311731,17766955,18,15,236142,11245418,112449,89959,1124,163050918,0,236143102,506,11245,9108333,990671818,0,12094971,2316444,517263383,505130741,22493,115968,3891282,2261374,56595364,15742798,1,1.12448560525052
Damascus Police Department,2020,Virginia,772,VA09402,8,17000,1700,0,110000,0,128708,20000,0,10,12010,5,252,2510,9000,1510,0,25287,50010,1,0,50011,0,0,0,0,1,0,10,5000010,0,100,0,90,511,324938210,732313212,0,11873195,1177312,10713544,259010111,824236378,11773124,1413010,1908,2355,11892032,37109,235462470,0,23547742,11773126,4120937,11773124,117731,452099721,117731,1,184838039,0,707682661,105969917,117743008,0,10595918,58866,12126320,23546,0,117731,1177,0,3779175,1,23547424,29434577,31,1530506,732288872,117731,25474687,246081836,588658531,261387486,12155754,118320,8830210,25,0,452099716,1,1.17731235192711
Damascus Police Department,2020,Virginia,772,VA09402,8,17000,1700,0,110000,0,128708,20000,0,10,12010,5,252,2510,9000,1510,0,25287,50010,1,0,50011,0,0,0,0,1,0,10,5000010,0,100,0,90,511,324938210,732313212,0,11873195,1177312,10713544,259010111,824236378,11773124,1413010,1908,2355,11892032,37109,235462470,0,23547742,11773126,4120937,11773124,117731,452099721,117731,1,184838039,0,707682661,105969917,117743008,0,10595918,58866,12126320,23546,0,117731,1177,0,3779175,1,23547424,29434577,31,1530506,732288872,117731,25474687,246081836,588658531,261387486,12155754,118320,8830210,25,0,452099716,1,1.17731235192711
Damascus Police Department,2019,Virginia,787,VA09402,1400001,87000,4408700,1500000,120000,5048000,12563701,505005,0,30,20750,4000020,5025222,6800,0,252,20010,9073054,10200,1,210000,220201,2400000,0,50,0,1,2000000,245,8200011,0,5000100,0,1000285,504,33967312,125179471,597705500,12042306,0,154938615,103690805,238367099,29795889,7151132,125,0,12022045,38191,1196960,0,21691406,4,302965178,11918355,0,1116822526,238367,0,1787872,622734045,21453158,1096500573,16686,0,346825225,59918,357670,596038123,35755065,121448,48,59591775,319411917,607836108,488652552,2385039,476740397,238367,125142727,370661,12057801,244326279,893876622,481978750,12455879,122461,27115359,53645,0,1760341024,1,1.19183549339627
Damascus Police Department,2019,Virginia,787,VA09402,1400001,87000,4408700,1500000,120000,5048000,12563701,505005,0,30,20750,4000020,5025222,6800,0,252,20010,9073054,10200,1,210000,220201,2400000,0,50,0,1,2000000,245,8200011,0,5000100,0,1000285,504,33967312,125179471,597705500,12042306,0,154938615,103690805,238367099,29795889,7151132,125,0,12022045,38191,1196960,0,21691406,4,302965178,11918355,0,1116822526,238367,0,1787872,622734045,21453158,1096500573,16686,0,346825225,59918,357670,596038123,35755065,121448,48,59591775,319411917,607836108,488652552,2385039,476740397,238367,125142727,370661,12057801,244326279,893876622,481978750,12455879,122461,27115359,53645,0,1760341024,1,1.19183549339627
