cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,002923,East Carolina University,Public,Accounting and Related Services.,Bachelor's Degree,121,22922,21571
2015_2016,002923,East Carolina University,Public,Accounting and Related Services.,Master's Degree,54,24560,24839
2016_2017,002923,East Carolina University,Public,Accounting and Related Services.,Bachelor's Degree,133,21500,20622
2016_2017,002923,East Carolina University,Public,Accounting and Related Services.,Master's Degree,49,21250,22796
2015_2016,002923,East Carolina University,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Bachelor's Degree,21,25216,21628
2015_2016,002923,East Carolina University,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,46,50248,50490
2015_2016,002923,East Carolina University,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Graduate/Professional Certificate,,,
2016_2017,002923,East Carolina University,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Bachelor's Degree,28,27000,24185
2016_2017,002923,East Carolina University,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,40,62602,57107
2016_2017,002923,East Carolina University,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Graduate/Professional Certificate,,,
2015_2016,002923,East Carolina University,Public,Anthropology.,Bachelor's Degree,38,25250,21553
2015_2016,002923,East Carolina University,Public,Anthropology.,Master's Degree,13,,36160
2016_2017,002923,East Carolina University,Public,Anthropology.,Bachelor's Degree,38,22443,21311
2016_2017,002923,East Carolina University,Public,Anthropology.,Master's Degree,,,48399
2015_2016,002923,East Carolina University,Public,Apparel and Textiles.,Bachelor's Degree,34,25991,22694
2016_2017,002923,East Carolina University,Public,Apparel and Textiles.,Bachelor's Degree,43,25700,23707
2016_2017,002923,East Carolina University,Public,Area Studies.,Bachelor's Degree,,,
2015_2016,002923,East Carolina University,Public,Atmospheric Sciences and Meteorology.,Bachelor's Degree,,,
2016_2017,002923,East Carolina University,Public,Atmospheric Sciences and Meteorology.,Bachelor's Degree,,,
2015_2016,002923,East Carolina University,Public,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,15,,23610
2015_2016,002923,East Carolina University,Public,"Biochemistry, Biophysics and Molecular Biology.",Master's Degree,,,
2015_2016,002923,East Carolina University,Public,"Biochemistry, Biophysics and Molecular Biology.",Doctoral Degree,,,
2016_2017,002923,East Carolina University,Public,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,15,,22385
2016_2017,002923,East Carolina University,Public,"Biochemistry, Biophysics and Molecular Biology.",Master's Degree,,,33981
2016_2017,002923,East Carolina University,Public,"Biochemistry, Biophysics and Molecular Biology.",Doctoral Degree,,,
2015_2016,002923,East Carolina University,Public,"Biological and Biomedical Sciences, Other.",Doctoral Degree,,,
2016_2017,002923,East Carolina University,Public,"Biological and Biomedical Sciences, Other.",Doctoral Degree,,,
2015_2016,002923,East Carolina University,Public,"Biology, General.",Bachelor's Degree,209,24249,21577
2015_2016,002923,East Carolina University,Public,"Biology, General.",Master's Degree,19,,29587
2016_2017,002923,East Carolina University,Public,"Biology, General.",Bachelor's Degree,265,22999,21218
2016_2017,002923,East Carolina University,Public,"Biology, General.",Master's Degree,12,,29230
2016_2017,002923,East Carolina University,Public,"Biology, General.",Doctoral Degree,,,
2015_2016,002923,East Carolina University,Public,Biomedical/Medical Engineering.,Master's Degree,,,
2016_2017,002923,East Carolina University,Public,Biomedical/Medical Engineering.,Master's Degree,,,
2015_2016,002923,East Carolina University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,229,24000,21946
2015_2016,002923,East Carolina University,Public,"Business Administration, Management and Operations.",Master's Degree,160,31578,35203
2015_2016,002923,East Carolina University,Public,"Business Administration, Management and Operations.",Graduate/Professional Certificate,,35766,36385
2016_2017,002923,East Carolina University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,289,24161,22255
2016_2017,002923,East Carolina University,Public,"Business Administration, Management and Operations.",Master's Degree,168,30625,34894
2016_2017,002923,East Carolina University,Public,"Business Administration, Management and Operations.",Graduate/Professional Certificate,,33670,37833
2015_2016,002923,East Carolina University,Public,Business Operations Support and Assistant Services.,Bachelor's Degree,40,27903,27878
2016_2017,002923,East Carolina University,Public,Business Operations Support and Assistant Services.,Bachelor's Degree,42,20004,22240
2015_2016,002923,East Carolina University,Public,Cell/Cellular Biology and Anatomical Sciences.,Doctoral Degree,,,
2016_2017,002923,East Carolina University,Public,Cell/Cellular Biology and Anatomical Sciences.,Doctoral Degree,,,
2015_2016,002923,East Carolina University,Public,Chemistry.,Bachelor's Degree,89,24308,22168
2015_2016,002923,East Carolina University,Public,Chemistry.,Master's Degree,12,,30547
2016_2017,002923,East Carolina University,Public,Chemistry.,Bachelor's Degree,93,23750,22254
2016_2017,002923,East Carolina University,Public,Chemistry.,Master's Degree,,,
2015_2016,002923,East Carolina University,Public,"City/Urban, Community and Regional Planning.",Bachelor's Degree,,,
2016_2017,002923,East Carolina University,Public,"City/Urban, Community and Regional Planning.",Bachelor's Degree,,,
2015_2016,002923,East Carolina University,Public,"Clinical, Counseling and Applied Psychology.",Master's Degree,,,
2015_2016,002923,East Carolina University,Public,"Clinical, Counseling and Applied Psychology.",Doctoral Degree,,,31638
2015_2016,002923,East Carolina University,Public,"Clinical, Counseling and Applied Psychology.",Graduate/Professional Certificate,,,
2016_2017,002923,East Carolina University,Public,"Clinical, Counseling and Applied Psychology.",Master's Degree,11,,28819
2016_2017,002923,East Carolina University,Public,"Clinical, Counseling and Applied Psychology.",Doctoral Degree,,,
2016_2017,002923,East Carolina University,Public,"Clinical, Counseling and Applied Psychology.",Graduate/Professional Certificate,,,
2015_2016,002923,East Carolina University,Public,Clinical/Medical Laboratory Science/Research and Allied Professions.,Bachelor's Degree,22,26500,24022
2016_2017,002923,East Carolina University,Public,Clinical/Medical Laboratory Science/Research and Allied Professions.,Bachelor's Degree,20,27500,25524
2015_2016,002923,East Carolina University,Public,Communication and Media Studies.,Bachelor's Degree,276,23250,21926
2015_2016,002923,East Carolina University,Public,Communication and Media Studies.,Master's Degree,13,,28104
2015_2016,002923,East Carolina University,Public,Communication and Media Studies.,Graduate/Professional Certificate,,,
2016_2017,002923,East Carolina University,Public,Communication and Media Studies.,Bachelor's Degree,312,22740,21571
2016_2017,002923,East Carolina University,Public,Communication and Media Studies.,Master's Degree,15,,28886
2016_2017,002923,East Carolina University,Public,Communication and Media Studies.,Graduate/Professional Certificate,,,
2015_2016,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,Bachelor's Degree,35,21500,21050
2015_2016,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,Master's Degree,38,41000,38100
2015_2016,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,Doctoral Degree,,,
2015_2016,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,First Professional Degree,,,
2016_2017,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,Bachelor's Degree,40,21500,20814
2016_2017,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,Master's Degree,43,41000,36883
2016_2017,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,Doctoral Degree,,,
2016_2017,002923,East Carolina University,Public,Communication Disorders Sciences and Services.,First Professional Degree,,,
2015_2016,002923,East Carolina University,Public,"Computer and Information Sciences, General.",Bachelor's Degree,50,24690,23790
2016_2017,002923,East Carolina University,Public,"Computer and Information Sciences, General.",Bachelor's Degree,66,26000,25190
2015_2016,002923,East Carolina University,Public,Computer Engineering Technologies/Technicians.,Master's Degree,,,
2015_2016,002923,East Carolina University,Public,Computer Engineering.,Master's Degree,,,
2016_2017,002923,East Carolina University,Public,Computer Engineering.,Master's Degree,,,
2015_2016,002923,East Carolina University,Public,Computer Science.,Bachelor's Degree,35,27000,26590
2015_2016,002923,East Carolina University,Public,Computer Science.,Master's Degree,,,
2016_2017,002923,East Carolina University,Public,Computer Science.,Bachelor's Degree,46,28967,27656
2016_2017,002923,East Carolina University,Public,Computer Science.,Master's Degree,,,
2016_2017,002923,East Carolina University,Public,Computer Software and Media Applications.,Master's Degree,,,
2016_2017,002923,East Carolina University,Public,Computer Systems Networking and Telecommunications.,Graduate/Professional Certificate,,,
2015_2016,002923,East Carolina University,Public,Computer/Information Technology Administration and Management.,Master's Degree,13,,23951
2015_2016,002923,East Carolina University,Public,Computer/Information Technology Administration and Management.,Graduate/Professional Certificate,,,
2016_2017,002923,East Carolina University,Public,Computer/Information Technology Administration and Management.,Master's Degree,12,,20966
2016_2017,002923,East Carolina University,Public,Computer/Information Technology Administration and Management.,Graduate/Professional Certificate,,,
2015_2016,002923,East Carolina University,Public,Construction Engineering Technologies.,Master's Degree,,,
2016_2017,002923,East Carolina University,Public,Construction Engineering Technologies.,Master's Degree,,,
2016_2017,002923,East Carolina University,Public,Construction Management.,Master's Degree,,,
2015_2016,002923,East Carolina University,Public,Criminal Justice and Corrections.,Bachelor's Degree,238,23058,21736
2015_2016,002923,East Carolina University,Public,Criminal Justice and Corrections.,Post-baccalaureate Certificate,,,
2015_2016,002923,East Carolina University,Public,Criminal Justice and Corrections.,Master's Degree,14,,24214
2015_2016,002923,East Carolina University,Public,Criminal Justice and Corrections.,Graduate/Professional Certificate,,,
2016_2017,002923,East Carolina University,Public,Criminal Justice and Corrections.,Bachelor's Degree,259,22250,21506
2016_2017,002923,East Carolina University,Public,Criminal Justice and Corrections.,Post-baccalaureate Certificate,,,
2016_2017,002923,East Carolina University,Public,Criminal Justice and Corrections.,Master's Degree,15,,30285
