cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,003745,University of Virginia,Public,Accounting and Related Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Accounting and Related Services.,Master's Degree,37,27000,30350
2016_2017,003745,University of Virginia,Public,Accounting and Related Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Accounting and Related Services.,Master's Degree,38,27363,30369
2015_2016,003745,University of Virginia,Public,"Aerospace, Aeronautical and Astronautical Engineering.",Bachelor's Degree,23,27000,22516
2016_2017,003745,University of Virginia,Public,"Aerospace, Aeronautical and Astronautical Engineering.",Bachelor's Degree,26,26375,21678
2015_2016,003745,University of Virginia,Public,Allied Health and Medical Assisting Services.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Allied Health and Medical Assisting Services.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Anthropology.,Bachelor's Degree,27,17577,17078
2015_2016,003745,University of Virginia,Public,Anthropology.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Anthropology.,Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Anthropology.,Bachelor's Degree,32,20000,18630
2016_2017,003745,University of Virginia,Public,Anthropology.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Anthropology.,Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Archeology.,Bachelor's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Archeology.,Bachelor's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Architectural History and Criticism.,Bachelor's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Architectural History and Criticism.,Master's Degree,11,NA,49890
2016_2017,003745,University of Virginia,Public,Architectural History and Criticism.,Bachelor's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Architectural History and Criticism.,Master's Degree,13,NA,56406
2015_2016,003745,University of Virginia,Public,Architecture.,Bachelor's Degree,46,20330,18837
2015_2016,003745,University of Virginia,Public,Architecture.,Master's Degree,28,61250,58310
2016_2017,003745,University of Virginia,Public,Architecture.,Bachelor's Degree,48,18096,17098
2016_2017,003745,University of Virginia,Public,Architecture.,Master's Degree,33,72019,66779
2015_2016,003745,University of Virginia,Public,Area Studies.,Bachelor's Degree,NA,21750,18026
2015_2016,003745,University of Virginia,Public,Area Studies.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Area Studies.,Bachelor's Degree,NA,20500,17824
2016_2017,003745,University of Virginia,Public,Area Studies.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Astronomy and Astrophysics.,Bachelor's Degree,14,NA,21199
2015_2016,003745,University of Virginia,Public,Astronomy and Astrophysics.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Astronomy and Astrophysics.,Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Astronomy and Astrophysics.,Bachelor's Degree,12,NA,15674
2016_2017,003745,University of Virginia,Public,Astronomy and Astrophysics.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Astronomy and Astrophysics.,Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Biochemistry, Biophysics and Molecular Biology.",Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Biochemistry, Biophysics and Molecular Biology.",Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Biological and Physical Sciences.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Biological and Physical Sciences.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Biology, General.",Bachelor's Degree,162,18257,17388
2015_2016,003745,University of Virginia,Public,"Biology, General.",Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Biology, General.",Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Biology, General.",Bachelor's Degree,192,19500,17680
2016_2017,003745,University of Virginia,Public,"Biology, General.",Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Biology, General.",Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Biomedical/Medical Engineering.,Bachelor's Degree,50,19500,18326
2015_2016,003745,University of Virginia,Public,Biomedical/Medical Engineering.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Biomedical/Medical Engineering.,Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Biomedical/Medical Engineering.,Bachelor's Degree,63,19000,17854
2016_2017,003745,University of Virginia,Public,Biomedical/Medical Engineering.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Biomedical/Medical Engineering.,Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Post-baccalaureate Certificate,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Master's Degree,277,89889,95421
2015_2016,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Post-baccalaureate Certificate,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Master's Degree,147,94229,99691
2016_2017,003745,University of Virginia,Public,"Business Administration, Management and Operations.",Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Business/Commerce, General.",Bachelor's Degree,130,16118,17228
2015_2016,003745,University of Virginia,Public,"Business/Commerce, General.",Master's Degree,81,41502,51056
2016_2017,003745,University of Virginia,Public,"Business/Commerce, General.",Bachelor's Degree,152,15872,16447
2016_2017,003745,University of Virginia,Public,"Business/Commerce, General.",Master's Degree,120,42582,43152
2015_2016,003745,University of Virginia,Public,Cell/Cellular Biology and Anatomical Sciences.,Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Cell/Cellular Biology and Anatomical Sciences.,Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Chemical Engineering.,Bachelor's Degree,28,18908,18242
2015_2016,003745,University of Virginia,Public,Chemical Engineering.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Chemical Engineering.,Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Chemical Engineering.,Bachelor's Degree,36,18723,18102
2016_2017,003745,University of Virginia,Public,Chemical Engineering.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Chemical Engineering.,Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Chemistry.,Bachelor's Degree,63,19000,16524
2015_2016,003745,University of Virginia,Public,Chemistry.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Chemistry.,Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Chemistry.,Bachelor's Degree,75,15593,16413
2016_2017,003745,University of Virginia,Public,Chemistry.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Chemistry.,Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"City/Urban, Community and Regional Planning.",Bachelor's Degree,17,NA,17180
2015_2016,003745,University of Virginia,Public,"City/Urban, Community and Regional Planning.",Master's Degree,27,41000,43700
2016_2017,003745,University of Virginia,Public,"City/Urban, Community and Regional Planning.",Bachelor's Degree,11,NA,16736
2016_2017,003745,University of Virginia,Public,"City/Urban, Community and Regional Planning.",Master's Degree,30,41318,41025
2015_2016,003745,University of Virginia,Public,Civil Engineering.,Bachelor's Degree,48,18683,17388
2015_2016,003745,University of Virginia,Public,Civil Engineering.,Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Civil Engineering.,Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Civil Engineering.,Bachelor's Degree,42,16925,16124
2016_2017,003745,University of Virginia,Public,Civil Engineering.,Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,Civil Engineering.,Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Classics and Classical Languages, Literatures, and Linguistics.",Bachelor's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Classics and Classical Languages, Literatures, and Linguistics.",Master's Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Classics and Classical Languages, Literatures, and Linguistics.",Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Classics and Classical Languages, Literatures, and Linguistics.",Bachelor's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Classics and Classical Languages, Literatures, and Linguistics.",Master's Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Classics and Classical Languages, Literatures, and Linguistics.",Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Clinical, Counseling and Applied Psychology.",Master's Degree,19,NA,30274
2015_2016,003745,University of Virginia,Public,"Clinical, Counseling and Applied Psychology.",Doctoral Degree,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Clinical, Counseling and Applied Psychology.",Graduate/Professional Certificate,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Clinical, Counseling and Applied Psychology.",Master's Degree,21,23645,24566
2016_2017,003745,University of Virginia,Public,"Clinical, Counseling and Applied Psychology.",Doctoral Degree,NA,NA,NA
2016_2017,003745,University of Virginia,Public,"Clinical, Counseling and Applied Psychology.",Graduate/Professional Certificate,NA,NA,NA
2015_2016,003745,University of Virginia,Public,Cognitive Science.,Bachelor's Degree,NA,20250,18439
2016_2017,003745,University of Virginia,Public,Cognitive Science.,Bachelor's Degree,NA,19250,18248
2015_2016,003745,University of Virginia,Public,Communication and Media Studies.,Bachelor's Degree,NA,16500,16303
2016_2017,003745,University of Virginia,Public,Communication and Media Studies.,Bachelor's Degree,NA,16750,17207
2015_2016,003745,University of Virginia,Public,Communication Disorders Sciences and Services.,Bachelor's Degree,32,15250,15987
2015_2016,003745,University of Virginia,Public,Communication Disorders Sciences and Services.,Master's Degree,28,43944,52230
2016_2017,003745,University of Virginia,Public,Communication Disorders Sciences and Services.,Bachelor's Degree,37,16841,17282
2016_2017,003745,University of Virginia,Public,Communication Disorders Sciences and Services.,Master's Degree,31,52613,56616
2015_2016,003745,University of Virginia,Public,"Computer and Information Sciences, General.",Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,003745,University of Virginia,Public,"Computer and Information Sciences, General.",Bachelor's Degree,128,18123,16810
2015_2016,003745,University of Virginia,Public,"Computer and Information Sciences, General.",Master's Degree,NA,NA,NA
