cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,003208,Northwest Christian University,Private,Accounting and Related Services.,Bachelor's Degree,10,,16116
2015_2016,003208,Northwest Christian University,Private,Accounting and Related Services.,Post-baccalaureate Certificate,,,
2016_2017,003208,Northwest Christian University,Private,Accounting and Related Services.,Undergraduate Certificate or Diploma,,,
2016_2017,003208,Northwest Christian University,Private,Accounting and Related Services.,Bachelor's Degree,12,,17821
2016_2017,003208,Northwest Christian University,Private,Accounting and Related Services.,Post-baccalaureate Certificate,,,
2016_2017,003208,Northwest Christian University,Private,Accounting and Related Services.,Master's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Arts, Entertainment,and Media Management.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Arts, Entertainment,and Media Management.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Bible/Biblical Studies.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Bible/Biblical Studies.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Biology, General.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Biology, General.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Business Administration, Management and Operations.",Bachelor's Degree,15,,18265
2015_2016,003208,Northwest Christian University,Private,"Business Administration, Management and Operations.",Master's Degree,15,,25876
2016_2017,003208,Northwest Christian University,Private,"Business Administration, Management and Operations.",Bachelor's Degree,14,,22979
2016_2017,003208,Northwest Christian University,Private,"Business Administration, Management and Operations.",Master's Degree,26,25868,27464
2015_2016,003208,Northwest Christian University,Private,"Business/Commerce, General.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Business/Commerce, General.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Clinical, Counseling and Applied Psychology.",Master's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Clinical, Counseling and Applied Psychology.",Master's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Communication and Media Studies.,Bachelor's Degree,,,14247
2016_2017,003208,Northwest Christian University,Private,Communication and Media Studies.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Communication, Journalism, and Related Programs, Other.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Communication, Journalism, and Related Programs, Other.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Criminal Justice and Corrections.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Criminal Justice and Corrections.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Education, General.",Master's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Educational/Instructional Media Design.,Master's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Educational/Instructional Media Design.,Master's Degree,11,,25886
2015_2016,003208,Northwest Christian University,Private,"English Language and Literature, General.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"English Language and Literature, General.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,History.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,History.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Human Resources Management and Services.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Human Resources Management and Services.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Journalism.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Journalism.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Marketing.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Marketing.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Mathematics.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Mathematics.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Mental and Social Health Services and Allied Professions.,Master's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Mental and Social Health Services and Allied Professions.,Master's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Missions/Missionary Studies and Missiology.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Missions/Missionary Studies and Missiology.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Multi/Interdisciplinary Studies, Other.",Associate's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Multi/Interdisciplinary Studies, Other.",Associate's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Multi/Interdisciplinary Studies, Other.",Bachelor's Degree,15,,18872
2015_2016,003208,Northwest Christian University,Private,Music.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Music.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Pastoral Counseling and Specialized Ministries.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Pastoral Counseling and Specialized Ministries.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Philosophy and Religious Studies, Other.",Master's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Philosophy and Religious Studies, Other.",Master's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Physiology, Pathology and Related Sciences.",Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,"Physiology, Pathology and Related Sciences.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Psychology, General.",Bachelor's Degree,14,,22140
2016_2017,003208,Northwest Christian University,Private,"Psychology, General.",Bachelor's Degree,12,,20752
2016_2017,003208,Northwest Christian University,Private,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Religious/Sacred Music.,Bachelor's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Religious/Sacred Music.,Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,Student Counseling and Personnel Services.,Master's Degree,,,
2016_2017,003208,Northwest Christian University,Private,Student Counseling and Personnel Services.,Master's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,,,
2015_2016,003208,Northwest Christian University,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Post-baccalaureate Certificate,,,
2015_2016,003208,Northwest Christian University,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,21,19995,18622
2016_2017,003208,Northwest Christian University,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,12,,18866
2016_2017,003208,Northwest Christian University,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,20,16260,19394
