cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,002748,Le Moyne College,Private,Accounting and Related Services.,Bachelor's Degree,41,25000,23252
2015_2016,002748,Le Moyne College,Private,Accounting and Related Services.,Master's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Accounting and Related Services.,Bachelor's Degree,48,23960,22086
2016_2017,002748,Le Moyne College,Private,Accounting and Related Services.,Master's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,48,115873,109734
2016_2017,002748,Le Moyne College,Private,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,94,117582,113311
2016_2017,002748,Le Moyne College,Private,"Arts, Entertainment,and Media Management.",Post-baccalaureate Certificate,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,"Arts, Entertainment,and Media Management.",Master's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,"Biochemistry, Biophysics and Molecular Biology.",Bachelor's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Biological and Physical Sciences.,Bachelor's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Biological and Physical Sciences.,Bachelor's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,"Biology, General.",Bachelor's Degree,158,27000,24254
2016_2017,002748,Le Moyne College,Private,"Biology, General.",Bachelor's Degree,166,27000,24426
2015_2016,002748,Le Moyne College,Private,"Business Administration, Management and Operations.",Bachelor's Degree,86,24943,22279
2015_2016,002748,Le Moyne College,Private,"Business Administration, Management and Operations.",Master's Degree,46,20500,19571
2016_2017,002748,Le Moyne College,Private,"Business Administration, Management and Operations.",Bachelor's Degree,87,23250,21594
2016_2017,002748,Le Moyne College,Private,"Business Administration, Management and Operations.",Master's Degree,51,20500,21735
2015_2016,002748,Le Moyne College,Private,Chemistry.,Bachelor's Degree,NA,27000,24658
2016_2017,002748,Le Moyne College,Private,Chemistry.,Bachelor's Degree,19,NA,25218
2015_2016,002748,Le Moyne College,Private,Communication and Media Studies.,Bachelor's Degree,65,27000,23077
2016_2017,002748,Le Moyne College,Private,Communication and Media Studies.,Bachelor's Degree,66,22589,21564
2015_2016,002748,Le Moyne College,Private,"Computer and Information Sciences, General.",Bachelor's Degree,10,NA,24223
2016_2017,002748,Le Moyne College,Private,"Computer and Information Sciences, General.",Bachelor's Degree,10,NA,25875
2015_2016,002748,Le Moyne College,Private,Computer Programming.,Bachelor's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Computer Programming.,Bachelor's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Criminology.,Bachelor's Degree,32,25437,24845
2016_2017,002748,Le Moyne College,Private,Criminology.,Bachelor's Degree,32,24125,23754
2015_2016,002748,Le Moyne College,Private,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,10,NA,26359
2016_2017,002748,Le Moyne College,Private,Drama/Theatre Arts and Stagecraft.,Bachelor's Degree,NA,NA,24868
2015_2016,002748,Le Moyne College,Private,"Ecology, Evolution, Systematics, and Population Biology.",Bachelor's Degree,10,NA,25061
2016_2017,002748,Le Moyne College,Private,"Ecology, Evolution, Systematics, and Population Biology.",Bachelor's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Economics.,Bachelor's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Economics.,Master's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Economics.,Bachelor's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Economics.,Master's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,"Education, General.",Master's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,"Education, General.",Master's Degree,NA,NA,20652
2015_2016,002748,Le Moyne College,Private,Educational Administration and Supervision.,Post-baccalaureate Certificate,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Educational Administration and Supervision.,Master's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Educational Administration and Supervision.,Graduate/Professional Certificate,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Educational Administration and Supervision.,Post-baccalaureate Certificate,NA,NA,20970
2016_2017,002748,Le Moyne College,Private,Educational Administration and Supervision.,Master's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Educational Administration and Supervision.,Graduate/Professional Certificate,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,"English Language and Literature, General.",Bachelor's Degree,37,26000,23980
2016_2017,002748,Le Moyne College,Private,"English Language and Literature, General.",Bachelor's Degree,39,21584,20540
2016_2017,002748,Le Moyne College,Private,"English Language and Literature, General.",Master's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Finance and Financial Management Services.,Bachelor's Degree,39,26388,22771
2016_2017,002748,Le Moyne College,Private,Finance and Financial Management Services.,Bachelor's Degree,50,24625,21896
2015_2016,002748,Le Moyne College,Private,History.,Bachelor's Degree,20,26500,23462
2016_2017,002748,Le Moyne College,Private,History.,Bachelor's Degree,15,NA,24296
2015_2016,002748,Le Moyne College,Private,Human Resources Management and Services.,Bachelor's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Human Resources Management and Services.,Bachelor's Degree,11,NA,21162
2016_2017,002748,Le Moyne College,Private,Human Resources Management and Services.,Master's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,International/Global Studies.,Bachelor's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,International/Global Studies.,Bachelor's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Management Information Systems and Services.,Bachelor's Degree,22,27000,25686
2015_2016,002748,Le Moyne College,Private,Management Information Systems and Services.,Master's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Management Information Systems and Services.,Bachelor's Degree,20,27000,24771
2016_2017,002748,Le Moyne College,Private,Management Information Systems and Services.,Master's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Marketing.,Bachelor's Degree,63,26849,24208
2016_2017,002748,Le Moyne College,Private,Marketing.,Bachelor's Degree,59,26000,22534
2015_2016,002748,Le Moyne College,Private,Mathematics.,Bachelor's Degree,NA,NA,21529
2016_2017,002748,Le Moyne College,Private,Mathematics.,Bachelor's Degree,15,NA,25053
2015_2016,002748,Le Moyne College,Private,Natural Resources Conservation and Research.,Bachelor's Degree,NA,NA,NA
2016_2017,002748,Le Moyne College,Private,Natural Resources Conservation and Research.,Bachelor's Degree,NA,NA,NA
2015_2016,002748,Le Moyne College,Private,Philosophy.,Bachelor's Degree,NA,NA,NA
