state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
maryland,2016,0.8300000000000001,0.4,0.92,2.15,197,79,191,459
maryland,2015,0.8500000000000001,0.39,0.9,2.14,201,77,187,457
maryland,2014,0.8600000000000001,0.39,0.9,2.15,204,77,187,459
maryland,2013,0.88,0.39,0.9,2.17,209,77,187,463
maryland,2012,0.91,0.39,0.9,2.2,216,77,187,469
maryland,2011,0.92,0.39,0.89,2.19,218,77,185,467
maryland,2010,0.9400000000000001,0.38,0.89,2.21,223,75,185,471
maryland,2009,0.96,0.36,0.8600000000000001,2.19,228,71,179,467
maryland,2008,0.99,0.36,0.8400000000000001,2.19,235,71,174,467
maryland,2007,1.01,0.36,0.8400000000000001,2.2,239,71,174,469
maryland,2006,1.01,0.33999999999999997,0.8300000000000001,2.18,239,67,172,465
maryland,2005,1.02,0.33999999999999997,0.81,2.16,242,67,168,461
maryland,2004,1.03,0.32999999999999996,0.7899999999999999,2.15,244,65,164,459
maryland,2003,1.03,0.32,0.77,2.12,244,64,160,452
maryland,2002,1.06,0.31,0.76,2.12,251,62,158,452
maryland,2001,1.06,0.3,0.75,2.11,251,60,156,450
maryland,2000,1.04,0.3,0.75,2.09,247,60,156,446
maryland,1999,1.04,0.3,0.74,2.08,247,60,154,444
maryland,1998,1.05,0.3,0.73,2.08,249,60,152,444
maryland,1997,1.08,0.29000000000000004,0.73,2.11,256,58,152,450
maryland,1996,1.05,0.29000000000000004,0.74,2.08,249,58,154,444
maryland,1995,1.06,0.28,0.74,2.09,251,56,154,446
maryland,1994,1.09,0.28,0.7799999999999999,2.15,258,56,162,459
maryland,1993,1.1,0.28,0.8,2.19,261,56,166,467
maryland,1992,1.11,0.29000000000000004,0.8600000000000001,2.2600000000000002,263,58,179,482
maryland,1991,1.1500000000000001,0.3,0.89,2.3299999999999996,273,60,185,497
maryland,1990,1.22,0.32999999999999996,0.96,2.51,289,65,199,535
maryland,1989,1.2,0.33999999999999997,0.97,2.52,284,67,201,538
maryland,1988,1.24,0.36,1,2.6,294,71,208,555
maryland,1987,1.28,0.38,1.06,2.71,303,75,220,578
maryland,1986,1.28,0.38,1.07,2.73,303,75,222,582
maryland,1985,1.3,0.36,1.1400000000000001,2.8,308,71,237,597
maryland,1984,1.31,0.36,1.1700000000000002,2.84,311,71,243,606
maryland,1983,1.34,0.35,1.2,2.8899999999999997,318,69,249,617
maryland,1982,1.27,0.32,1.1600000000000001,2.7600000000000002,301,64,241,589
maryland,1981,1.3900000000000001,0.33999999999999997,1.33,3.06,329,67,276,653
maryland,1980,1.41,0.32999999999999996,1.35,3.08,334,65,280,657
maryland,1979,1.43,0.31,1.3900000000000001,3.13,339,62,289,668
maryland,1978,1.4,0.31,1.3800000000000001,3.09,332,62,287,659
maryland,1977,1.36,0.3,1.3800000000000001,3.05,322,60,287,651
