state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
ohio,2016,1.1500000000000001,0.31,0.58,2.04,273,62,120,435
ohio,2015,1.1700000000000002,0.3,0.56,2.03,277,60,116,433
ohio,2014,1.1900000000000002,0.3,0.54,2.03,282,60,112,433
ohio,2013,1.22,0.3,0.53,2.04,289,60,110,435
ohio,2012,1.23,0.29000000000000004,0.51,2.03,292,58,106,433
ohio,2011,1.24,0.28,0.49,2.02,294,56,102,431
ohio,2010,1.29,0.25,0.48000000000000004,2.02,306,50,100,431
ohio,2009,1.3,0.27,0.47000000000000003,2.03,308,54,98,433
ohio,2008,1.33,0.26,0.46,2.05,315,52,96,437
ohio,2007,1.34,0.25,0.45,2.04,318,50,93,435
ohio,2006,1.33,0.24000000000000002,0.44,2.01,315,48,91,429
ohio,2005,1.34,0.23,0.43000000000000005,2,318,46,89,427
ohio,2004,1.34,0.22,0.42000000000000004,1.97,318,44,87,420
ohio,2003,1.34,0.22,0.4,1.95,318,44,83,416
ohio,2002,1.35,0.21000000000000002,0.39,1.95,320,42,81,416
ohio,2001,1.34,0.21000000000000002,0.39,1.93,318,42,81,412
ohio,2000,1.32,0.21000000000000002,0.38,1.91,313,42,79,407
ohio,1999,1.32,0.2,0.37,1.9,313,40,77,405
ohio,1998,1.3,0.19,0.44,1.94,308,38,91,414
ohio,1997,1.28,0.19,0.43000000000000005,1.8900000000000001,303,38,89,403
ohio,1996,1.36,0.18,0.43000000000000005,1.97,322,36,89,420
ohio,1995,1.29,0.17,0.43000000000000005,1.8900000000000001,306,34,89,403
ohio,1994,1.31,0.16,0.37,1.85,311,32,77,395
ohio,1993,1.29,0.16,0.5,1.95,306,32,104,416
ohio,1992,1.32,0.17,0.5,1.98,313,34,104,422
ohio,1991,1.33,0.18,0.51,2.03,315,36,106,433
ohio,1990,1.34,0.22,0.53,2.09,318,44,110,446
ohio,1989,1.36,0.22,0.51,2.09,322,44,106,446
ohio,1988,1.35,0.24000000000000002,0.55,2.13,320,48,114,454
ohio,1987,1.35,0.24000000000000002,0.59,2.18,320,48,122,465
ohio,1986,1.32,0.25,0.6,2.18,313,50,125,465
ohio,1985,1.37,0.25,0.59,2.21,325,50,122,471
ohio,1984,1.41,0.25,0.61,2.27,334,50,127,484
ohio,1983,1.36,0.22,0.65,2.23,322,44,135,476
ohio,1982,1.4,0.22,0.6599999999999999,2.2800000000000002,332,44,137,486
ohio,1981,1.35,0.22,0.6799999999999999,2.25,320,44,141,480
ohio,1980,1.3900000000000001,0.21000000000000002,0.72,2.3299999999999996,329,42,149,497
ohio,1979,1.35,0.19,0.7,2.25,320,38,145,480
ohio,1978,1.1900000000000002,0.2,0.7,2.08,282,40,145,444
ohio,1977,1.1600000000000001,0.18,0.7,2.03,275,36,145,433
