state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Indiana,2017,230,58,176,450
Indiana,2016,232,58,185,463
Indiana,2015,232,56,183,457
Indiana,2014,232,54,166,437
Indiana,2013,237,56,168,446
Indiana,2012,242,56,164,444
Indiana,2011,242,54,152,431
Indiana,2010,244,52,154,433
Indiana,2009,256,50,149,437
Indiana,2008,261,48,152,444
Indiana,2007,268,48,149,446
Indiana,2006,258,50,137,427
Indiana,2005,263,44,141,429
Indiana,2004,270,44,135,429
Indiana,2003,263,42,133,418
Indiana,2002,268,40,125,412
Indiana,2001,273,38,129,418
Indiana,2000,275,40,127,422
Indiana,1999,275,38,122,414
Indiana,1998,270,38,120,407
Indiana,1997,258,36,122,395
Indiana,1996,258,40,118,397
Indiana,1995,270,40,120,410
Indiana,1994,273,40,122,414
Indiana,1993,273,38,133,422
Indiana,1992,275,40,120,416
Indiana,1991,289,38,125,427
Indiana,1990,299,40,131,446
Indiana,1989,292,40,133,442
Indiana,1988,296,42,139,454
Indiana,1987,299,46,139,461
Indiana,1986,299,46,139,463
Indiana,1985,299,44,152,469
Indiana,1984,301,42,152,471
Indiana,1983,303,38,152,469
Indiana,1982,306,38,158,478
Indiana,1981,306,36,162,478
Indiana,1980,299,34,160,471
Indiana,1979,287,30,162,459
Indiana,1978,280,30,162,452
Indiana,1977,268,28,160,433
