state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
indiana,2016,0.98,0.29000000000000004,0.89,2.17,232,58,185,463
indiana,2015,0.98,0.28,0.88,2.14,232,56,183,457
indiana,2014,0.98,0.27,0.8,2.05,232,54,166,437
indiana,2013,1,0.28,0.81,2.09,237,56,168,446
indiana,2012,1.02,0.28,0.7899999999999999,2.08,242,56,164,444
indiana,2011,1.02,0.27,0.73,2.02,242,54,152,431
indiana,2010,1.03,0.26,0.74,2.03,244,52,154,433
indiana,2009,1.08,0.25,0.72,2.05,256,50,149,437
indiana,2008,1.1,0.24000000000000002,0.73,2.08,261,48,152,444
indiana,2007,1.1300000000000001,0.24000000000000002,0.72,2.09,268,48,149,446
indiana,2006,1.09,0.25,0.6599999999999999,2,258,50,137,427
indiana,2005,1.11,0.22,0.6799999999999999,2.01,263,44,141,429
indiana,2004,1.1400000000000001,0.22,0.65,2.01,270,44,135,429
indiana,2003,1.11,0.21000000000000002,0.64,1.96,263,42,133,418
indiana,2002,1.1300000000000001,0.2,0.6,1.93,268,40,125,412
indiana,2001,1.1500000000000001,0.19,0.62,1.96,273,38,129,418
indiana,2000,1.1600000000000001,0.2,0.61,1.98,275,40,127,422
indiana,1999,1.1600000000000001,0.19,0.59,1.94,275,38,122,414
indiana,1998,1.1400000000000001,0.19,0.58,1.91,270,38,120,407
indiana,1997,1.09,0.18,0.59,1.85,258,36,122,395
indiana,1996,1.09,0.2,0.5700000000000001,1.86,258,40,118,397
indiana,1995,1.1400000000000001,0.2,0.58,1.92,270,40,120,410
indiana,1994,1.1500000000000001,0.2,0.59,1.94,273,40,122,414
indiana,1993,1.1500000000000001,0.19,0.64,1.98,273,38,133,422
indiana,1992,1.1600000000000001,0.2,0.58,1.95,275,40,120,416
indiana,1991,1.22,0.19,0.6,2,289,38,125,427
indiana,1990,1.26,0.2,0.63,2.09,299,40,131,446
indiana,1989,1.23,0.2,0.64,2.07,292,40,133,442
indiana,1988,1.25,0.21000000000000002,0.6699999999999999,2.13,296,42,139,454
indiana,1987,1.26,0.23,0.6699999999999999,2.16,299,46,139,461
indiana,1986,1.26,0.23,0.6699999999999999,2.17,299,46,139,463
indiana,1985,1.26,0.22,0.73,2.2,299,44,152,469
indiana,1984,1.27,0.21000000000000002,0.73,2.21,301,42,152,471
indiana,1983,1.28,0.19,0.73,2.2,303,38,152,469
indiana,1982,1.29,0.19,0.76,2.24,306,38,158,478
indiana,1981,1.29,0.18,0.7799999999999999,2.24,306,36,162,478
indiana,1980,1.26,0.17,0.77,2.21,299,34,160,471
indiana,1979,1.21,0.15000000000000002,0.7799999999999999,2.15,287,30,162,459
indiana,1978,1.1800000000000002,0.15000000000000002,0.7799999999999999,2.12,280,30,162,452
indiana,1977,1.1300000000000001,0.14,0.77,2.03,268,28,160,433
