state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Rhode Island,2018,213,113,239,561
Rhode Island,2017,220,115,226,555
Rhode Island,2016,223,115,218,548
Rhode Island,2015,228,113,206,538
Rhode Island,2014,239,101,179,510
Rhode Island,2013,237,113,203,546
Rhode Island,2012,244,117,201,550
Rhode Island,2011,247,115,195,544
Rhode Island,2010,251,111,191,542
Rhode Island,2009,254,109,176,527
Rhode Island,2008,258,103,174,525
Rhode Island,2007,261,105,170,523
Rhode Island,2006,254,101,172,514
Rhode Island,2005,232,97,170,489
Rhode Island,2004,268,99,166,516
Rhode Island,2003,268,101,166,523
Rhode Island,2002,277,95,154,512
Rhode Island,2001,282,91,145,503
Rhode Island,2000,275,91,145,493
Rhode Island,1999,270,89,143,489
Rhode Island,1998,270,93,131,478
Rhode Island,1997,289,87,133,491
Rhode Island,1996,275,83,137,478
Rhode Island,1995,280,75,131,467
Rhode Island,1994,292,75,137,484
Rhode Island,1993,289,71,143,484
Rhode Island,1992,294,77,145,497
Rhode Island,1991,315,73,147,514
Rhode Island,1990,311,87,164,542
Rhode Island,1989,320,91,179,570
Rhode Island,1988,327,97,199,602
Rhode Island,1987,329,101,193,604
Rhode Island,1986,332,105,191,608
Rhode Island,1985,332,101,214,625
Rhode Island,1984,325,103,214,623
Rhode Island,1983,351,99,220,649
Rhode Island,1982,318,109,216,627
Rhode Island,1981,322,105,216,623
Rhode Island,1980,346,105,235,668
Rhode Island,1979,337,97,224,636
Rhode Island,1978,325,95,235,636
Rhode Island,1977,320,83,226,610
