state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Maine,2016,322,87,210,599
Maine,2015,325,87,201,593
Maine,2014,322,83,193,578
Maine,2013,322,83,189,574
Maine,2012,318,83,185,565
Maine,2011,311,83,181,555
Maine,2010,308,83,174,546
Maine,2009,311,83,170,544
Maine,2008,315,83,168,546
Maine,2007,320,83,166,548
Maine,2006,318,83,162,542
Maine,2005,318,81,160,538
Maine,2004,299,81,158,521
Maine,2003,296,79,154,510
Maine,2002,292,79,145,497
Maine,2001,287,73,145,486
Maine,2000,277,75,141,476
Maine,1999,275,71,143,471
Maine,1998,270,65,143,461
Maine,1997,275,64,141,461
Maine,1996,287,64,143,474
Maine,1995,270,56,145,452
Maine,1994,268,54,160,465
Maine,1993,273,58,164,474
Maine,1992,275,58,162,476
Maine,1991,280,60,160,480
Maine,1990,287,62,170,499
Maine,1989,299,67,179,525
Maine,1988,306,71,189,544
Maine,1987,301,75,189,546
Maine,1986,306,71,191,548
Maine,1985,306,65,195,546
Maine,1984,296,62,212,548
Maine,1983,313,58,214,563
Maine,1982,308,60,212,559
Maine,1981,294,56,218,548
Maine,1980,313,56,220,567
Maine,1979,301,54,218,553
Maine,1978,303,52,214,548
Maine,1977,320,46,212,555
