state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
utah,2016,0.63,0.19,0.52,1.34,149,38,108,286
utah,2015,0.65,0.2,0.54,1.3900000000000001,154,40,112,297
utah,2014,0.6599999999999999,0.19,0.52,1.37,156,38,108,292
utah,2013,0.6699999999999999,0.19,0.51,1.36,159,38,106,290
utah,2012,0.69,0.19,0.5,1.37,164,38,104,292
utah,2011,0.6799999999999999,0.18,0.49,1.36,161,36,102,290
utah,2010,0.7,0.18,0.47000000000000003,1.35,166,36,98,288
utah,2009,0.72,0.17,0.47000000000000003,1.36,171,34,98,290
utah,2008,0.76,0.17,0.47000000000000003,1.41,180,34,98,301
utah,2007,0.77,0.16,0.44,1.3800000000000001,183,32,91,294
utah,2006,0.73,0.16,0.44,1.33,173,32,91,284
utah,2005,0.7,0.16,0.41000000000000003,1.27,166,32,85,271
utah,2004,0.76,0.15000000000000002,0.39,1.3,180,30,81,277
utah,2003,0.76,0.14,0.39,1.3,180,28,81,277
utah,2002,0.77,0.14,0.39,1.3,183,28,81,277
utah,2001,0.77,0.14,0.39,1.3,183,28,81,277
utah,2000,0.75,0.14,0.4,1.29,178,28,83,275
utah,1999,0.74,0.13,0.38,1.25,175,26,79,267
utah,1998,0.77,0.13,0.37,1.27,183,26,77,271
utah,1997,0.75,0.13,0.39,1.27,178,26,81,271
utah,1996,0.73,0.13,0.37,1.23,173,26,77,262
utah,1995,0.71,0.11,0.37,1.1900000000000002,168,22,77,254
utah,1994,0.76,0.09,0.38,1.24,180,18,79,265
utah,1993,0.7799999999999999,0.11,0.39,1.28,185,22,81,273
utah,1992,0.7899999999999999,0.12000000000000001,0.42000000000000004,1.33,187,24,87,284
utah,1991,0.8,0.12000000000000001,0.43000000000000005,1.34,190,24,89,286
utah,1990,0.8,0.12000000000000001,0.46,1.3900000000000001,190,24,96,297
utah,1989,0.81,0.13,0.47000000000000003,1.41,192,26,98,301
utah,1988,0.8200000000000001,0.14,0.48000000000000004,1.45,194,28,100,309
utah,1987,0.8400000000000001,0.15000000000000002,0.49,1.49,199,30,102,318
utah,1986,0.88,0.16,0.52,1.57,209,32,108,335
utah,1985,0.89,0.15000000000000002,0.53,1.57,211,30,110,335
utah,1984,0.89,0.14,0.52,1.55,211,28,108,331
utah,1983,0.89,0.14,0.51,1.54,211,28,106,329
utah,1982,1.01,0.15000000000000002,0.55,1.7,239,30,114,363
utah,1981,1.02,0.15000000000000002,0.59,1.75,242,30,122,373
utah,1980,0.96,0.14,0.6,1.7,228,28,125,363
utah,1979,0.9400000000000001,0.15000000000000002,0.59,1.6800000000000002,223,30,122,358
utah,1978,0.93,0.14,0.59,1.6600000000000001,220,28,122,354
utah,1977,0.9400000000000001,0.13,0.5700000000000001,1.6400000000000001,223,26,118,350
