state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
kentucky,2016,0.96,0.22,0.7899999999999999,1.98,228,44,164,422
kentucky,2015,0.99,0.22,0.76,1.97,235,44,158,420
kentucky,2014,0.9400000000000001,0.21000000000000002,0.72,1.8800000000000001,223,42,149,401
kentucky,2013,0.9500000000000001,0.2,0.7,1.85,225,40,145,395
kentucky,2012,0.97,0.2,0.7,1.87,230,40,145,399
kentucky,2011,0.9400000000000001,0.19,0.6599999999999999,1.79,223,38,137,382
kentucky,2010,1,0.18,0.6599999999999999,1.83,237,36,137,390
kentucky,2009,1.02,0.18,0.65,1.85,242,36,135,395
kentucky,2008,1.03,0.17,0.65,1.85,244,34,135,395
kentucky,2007,1.04,0.17,0.63,1.85,247,34,131,395
kentucky,2006,1.04,0.17,0.62,1.82,247,34,129,388
kentucky,2005,1.04,0.14,0.61,1.8,247,28,127,384
kentucky,2004,1.07,0.17,0.5700000000000001,1.81,254,34,118,386
kentucky,2003,1.03,0.15000000000000002,0.5700000000000001,1.75,244,30,118,373
kentucky,2002,1.08,0.14,0.54,1.77,256,28,112,378
kentucky,2001,1.04,0.12000000000000001,0.46,1.6300000000000001,247,24,96,348
kentucky,2000,1.07,0.14,0.53,1.74,254,28,110,371
kentucky,1999,1.07,0.13,0.54,1.74,254,26,112,371
kentucky,1998,1.08,0.13,0.53,1.74,256,26,110,371
kentucky,1997,1.07,0.13,0.53,1.72,254,26,110,367
kentucky,1996,1.09,0.13,0.54,1.76,258,26,112,375
kentucky,1995,1.06,0.11,0.54,1.71,251,22,112,365
kentucky,1994,1.08,0.11,0.55,1.73,256,22,114,369
kentucky,1993,1.08,0.1,0.55,1.73,256,20,114,369
kentucky,1992,1.04,0.11,0.56,1.71,247,22,116,365
kentucky,1991,1.11,0.11,0.56,1.78,263,22,116,380
kentucky,1990,1.12,0.11,0.6,1.83,265,22,125,390
kentucky,1989,1.09,0.12000000000000001,0.5700000000000001,1.79,258,24,118,382
kentucky,1988,1.1,0.12000000000000001,0.6,1.82,261,24,125,388
kentucky,1987,1.04,0.14,0.6,1.78,247,28,125,380
kentucky,1986,1.1,0.14,0.63,1.86,261,28,131,397
kentucky,1985,1.08,0.14,0.6599999999999999,1.8800000000000001,256,28,137,401
kentucky,1984,1.06,0.13,0.6799999999999999,1.87,251,26,141,399
kentucky,1983,1.1300000000000001,0.12000000000000001,0.7,1.95,268,24,145,416
kentucky,1982,1.1400000000000001,0.12000000000000001,0.72,1.99,270,24,149,425
kentucky,1981,1.1300000000000001,0.1,0.75,1.99,268,20,156,425
kentucky,1980,1.08,0.1,0.73,1.91,256,20,152,407
kentucky,1979,1.07,0.09,0.75,1.91,254,18,156,407
kentucky,1978,1.04,0.09,0.75,1.8800000000000001,247,18,156,401
kentucky,1977,1.1600000000000001,0.09,0.73,1.98,275,18,152,422
