state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
new york,2016,0.91,0.53,0.7799999999999999,2.22,216,105,162,474
new york,2015,0.9,0.5,0.77,2.18,213,99,160,465
new york,2014,0.9,0.53,0.76,2.2,213,105,158,469
new york,2013,0.93,0.51,0.77,2.21,220,101,160,471
new york,2012,0.91,0.51,0.75,2.17,216,101,156,463
new york,2011,0.89,0.5,0.72,2.11,211,99,149,450
new york,2010,0.89,0.48000000000000004,0.71,2.09,211,95,147,446
new york,2009,0.92,0.47000000000000003,0.7,2.08,218,93,145,444
new york,2008,0.93,0.47000000000000003,0.6799999999999999,2.08,220,93,141,444
new york,2007,0.93,0.47000000000000003,0.69,2.1,220,93,143,448
new york,2006,0.89,0.46,0.6599999999999999,2.01,211,91,137,429
new york,2005,0.91,0.43000000000000005,0.65,1.99,216,85,135,425
new york,2004,0.92,0.42000000000000004,0.62,1.96,218,83,129,418
new york,2003,0.93,0.4,0.61,1.94,220,79,127,414
new york,2002,0.9500000000000001,0.38,0.59,1.92,225,75,122,410
new york,2001,0.96,0.37,0.56,1.8900000000000001,228,73,116,403
new york,2000,0.92,0.38,0.58,1.8800000000000001,218,75,120,401
new york,1999,0.93,0.37,0.56,1.85,220,73,116,395
new york,1998,0.9500000000000001,0.38,0.51,1.84,225,75,106,393
new york,1997,0.8600000000000001,0.36,0.56,1.79,204,71,116,382
new york,1996,0.91,0.36,0.5700000000000001,1.84,216,71,118,393
new york,1995,1,0.38,0.5700000000000001,1.95,237,75,118,416
new york,1994,0.98,0.35,0.6,1.93,232,69,125,412
new york,1993,1,0.35,0.62,1.97,237,69,129,420
new york,1992,1.04,0.37,0.6799999999999999,2.09,247,73,141,446
new york,1991,1.09,0.37,0.69,2.14,258,73,143,457
new york,1990,1.1300000000000001,0.41000000000000003,0.76,2.3,268,81,158,491
new york,1989,1.11,0.42000000000000004,0.81,2.34,263,83,168,499
new york,1988,1.1400000000000001,0.44,0.8600000000000001,2.4499999999999997,270,87,179,523
new york,1987,1.1400000000000001,0.47000000000000003,0.9,2.51,270,93,187,535
new york,1986,1.12,0.5,0.91,2.53,265,99,189,540
new york,1985,1.1400000000000001,0.49,0.98,2.61,270,97,203,557
new york,1984,1.1400000000000001,0.49,1.03,2.67,270,97,214,570
new york,1983,1.23,0.49,1.05,2.77,292,97,218,591
new york,1982,1.26,0.48000000000000004,1.11,2.8499999999999996,299,95,230,608
new york,1981,1.25,0.46,1.12,2.8299999999999996,296,91,233,604
new york,1980,1.27,0.46,1.1700000000000002,2.9099999999999997,301,91,243,621
new york,1979,1.21,0.44,1.1700000000000002,2.8299999999999996,287,87,243,604
new york,1978,1.1800000000000002,0.42000000000000004,1.1800000000000002,2.7800000000000002,280,83,245,593
new york,1977,1.1800000000000002,0.39,1.1800000000000002,2.75,280,77,245,587
