state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
nevada,2016,1.41,0.61,1.44,3.46,334,121,299,738
nevada,2015,1.3800000000000001,0.6599999999999999,1.29,3.3299999999999996,327,131,268,710
nevada,2014,1.41,0.6599999999999999,1.3,3.36,334,131,270,717
nevada,2013,1.4,0.63,1.28,3.3099999999999996,332,125,266,706
nevada,2012,1.41,0.62,1.24,3.27,334,123,257,698
nevada,2011,1.45,0.63,1.27,3.3499999999999996,344,125,264,715
nevada,2010,1.49,0.6,1.21,3.3,353,119,251,704
nevada,2009,1.53,0.56,1.11,3.21,363,111,230,685
nevada,2008,1.6300000000000001,0.61,1.29,3.53,386,121,268,753
nevada,2007,1.6600000000000001,0.62,1.23,3.52,393,123,255,751
nevada,2006,1.71,0.65,1.28,3.63,405,129,266,774
nevada,2005,1.6900000000000002,0.62,1.21,3.52,401,123,251,751
nevada,2004,1.73,0.63,1.25,3.61,410,125,260,770
nevada,2003,1.74,0.61,1.23,3.59,412,121,255,766
nevada,2002,1.74,0.6,1.22,3.56,412,119,253,759
nevada,2001,1.79,0.59,1.21,3.59,424,117,251,766
nevada,2000,1.79,0.62,1.26,3.67,424,123,262,783
nevada,1999,1.82,0.63,1.29,3.74,431,125,268,798
nevada,1998,1.8,0.58,1.23,3.62,427,115,255,772
nevada,1997,1.84,0.58,1.3,3.72,436,115,270,794
nevada,1996,1.91,0.59,1.3900000000000001,3.8899999999999997,453,117,289,830
nevada,1995,1.87,0.58,1.3900000000000001,3.84,443,115,289,819
nevada,1994,1.93,0.5700000000000001,1.51,4,457,113,314,853
nevada,1993,1.95,0.58,1.54,4.07,462,115,320,868
nevada,1992,2.02,0.62,1.61,4.25,479,123,334,907
nevada,1991,2.05,0.63,1.6300000000000001,4.31,486,125,338,919
nevada,1990,2.17,0.69,1.92,4.78,514,137,399,1020
nevada,1989,2.12,0.71,1.87,4.7,503,141,388,1003
nevada,1988,2.08,0.76,1.95,4.8,493,151,405,1024
nevada,1987,2.01,0.8300000000000001,2.05,4.89,476,165,426,1043
nevada,1986,2.04,0.8600000000000001,2.07,4.970000000000001,484,171,430,1060
nevada,1985,1.96,0.8400000000000001,2.18,4.99,465,167,453,1065
nevada,1984,1.97,0.8,2.32,5.1,467,159,482,1088
nevada,1983,1.96,0.7799999999999999,2.4299999999999997,5.18,465,155,505,1105
nevada,1982,2,0.77,2.5,5.2700000000000005,474,153,519,1124
nevada,1981,2.08,0.8,2.71,5.59,493,159,563,1193
nevada,1980,2.06,0.7799999999999999,2.9,5.75,488,155,602,1227
nevada,1979,2.07,0.7899999999999999,2.9699999999999998,5.83,491,157,617,1244
nevada,1978,2.01,0.77,3.34,6.13,476,153,693,1308
nevada,1977,1.99,0.77,3.56,6.319999999999999,472,153,739,1348
