state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Midwest Region,2018,261,71,189,506
Midwest Region,2017,265,71,187,508
Midwest Region,2016,270,69,181,506
Midwest Region,2015,273,69,179,503
Midwest Region,2014,275,67,174,501
Midwest Region,2013,277,67,172,499
Midwest Region,2012,284,65,170,501
Midwest Region,2011,284,64,164,493
Midwest Region,2010,292,60,160,491
Midwest Region,2009,296,60,158,495
Midwest Region,2008,301,58,158,497
Midwest Region,2007,303,60,154,495
Midwest Region,2006,301,56,149,484
Midwest Region,2005,301,54,147,480
Midwest Region,2004,303,52,141,474
Midwest Region,2003,303,52,141,476
Midwest Region,2002,308,50,133,467
Midwest Region,2001,306,46,135,463
Midwest Region,2000,306,48,131,461
Midwest Region,1999,306,48,131,459
Midwest Region,1998,303,46,131,457
Midwest Region,1997,299,46,129,450
Midwest Region,1996,303,46,129,452
Midwest Region,1995,306,44,129,452
Midwest Region,1994,308,44,131,457
Midwest Region,1993,308,44,139,465
Midwest Region,1992,311,46,141,471
Midwest Region,1991,320,46,139,480
Midwest Region,1990,327,52,154,506
Midwest Region,1989,322,52,149,501
Midwest Region,1988,327,58,156,514
Midwest Region,1987,327,60,160,523
Midwest Region,1986,327,60,162,525
Midwest Region,1985,325,56,174,531
Midwest Region,1984,332,54,174,538
Midwest Region,1983,337,50,181,542
Midwest Region,1982,337,54,183,548
Midwest Region,1981,337,52,193,557
Midwest Region,1980,337,48,199,561
Midwest Region,1979,332,46,197,550
Midwest Region,1978,320,44,197,538
Midwest Region,1977,313,42,199,531
