state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Tennessee,2018,232,64,174,457
Tennessee,2017,235,64,168,450
Tennessee,2016,242,65,164,457
Tennessee,2015,247,54,158,439
Tennessee,2014,247,52,152,431
Tennessee,2013,249,50,145,427
Tennessee,2012,254,50,141,427
Tennessee,2011,268,48,137,435
Tennessee,2010,247,44,127,401
Tennessee,2009,249,42,118,390
Tennessee,2008,261,40,118,399
Tennessee,2007,268,40,116,405
Tennessee,2006,270,38,116,403
Tennessee,2005,282,38,114,410
Tennessee,2004,289,36,110,412
Tennessee,2003,301,36,108,418
Tennessee,2002,277,34,106,397
Tennessee,2001,273,32,104,386
Tennessee,2000,282,32,106,395
Tennessee,1999,282,30,102,390
Tennessee,1998,282,30,104,393
Tennessee,1997,273,30,104,384
Tennessee,1996,270,30,106,384
Tennessee,1995,277,30,106,390
Tennessee,1994,280,30,110,397
Tennessee,1993,284,28,112,399
Tennessee,1992,287,28,116,405
Tennessee,1991,282,26,112,399
Tennessee,1990,289,28,125,418
Tennessee,1989,284,28,125,412
Tennessee,1988,289,30,127,420
Tennessee,1987,282,30,131,420
Tennessee,1986,280,32,131,422
Tennessee,1985,265,32,141,420
Tennessee,1984,263,30,145,420
Tennessee,1983,263,28,145,416
Tennessee,1982,268,28,145,420
Tennessee,1981,270,26,147,422
Tennessee,1980,261,24,143,407
Tennessee,1979,261,22,145,407
Tennessee,1978,265,20,145,412
Tennessee,1977,254,20,143,397
