state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Colorado,2017,270,103,247,608
Colorado,2016,270,101,241,602
Colorado,2015,265,101,239,593
Colorado,2014,273,103,230,591
Colorado,2013,284,99,230,599
Colorado,2012,273,103,224,589
Colorado,2011,284,97,218,582
Colorado,2010,289,95,210,578
Colorado,2009,292,91,210,576
Colorado,2008,303,93,212,591
Colorado,2007,308,93,210,593
Colorado,2006,306,89,203,580
Colorado,2005,311,83,206,580
Colorado,2004,308,85,197,572
Colorado,2003,315,79,181,555
Colorado,2002,320,77,187,563
Colorado,2001,337,81,199,593
Colorado,2000,320,73,185,555
Colorado,1999,315,73,156,523
Colorado,1998,315,73,172,540
Colorado,1997,308,73,168,529
Colorado,1996,322,73,174,548
Colorado,1995,318,69,162,527
Colorado,1994,322,69,174,544
Colorado,1993,332,71,179,561
Colorado,1992,318,71,168,538
Colorado,1991,329,69,181,557
Colorado,1990,320,58,156,510
Colorado,1989,337,75,176,563
Colorado,1988,341,79,191,589
Colorado,1987,344,89,195,606
Colorado,1986,353,93,197,619
Colorado,1985,351,99,245,676
Colorado,1984,358,91,233,661
Colorado,1983,372,91,233,672
Colorado,1982,386,91,243,695
Colorado,1981,384,87,262,708
Colorado,1980,370,91,272,710
Colorado,1979,386,91,276,730
Colorado,1978,379,91,289,738
Colorado,1977,332,71,247,629
