state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
west region,2016,1.03,0.55,0.8400000000000001,2.42,244,109,174,516
west region,2015,1.05,0.52,0.8200000000000001,2.38,249,103,170,508
west region,2014,1.06,0.55,0.8,2.4099999999999997,251,109,166,514
west region,2013,1.04,0.55,0.81,2.4099999999999997,247,109,168,514
west region,2012,1.05,0.5700000000000001,0.81,2.42,249,113,168,516
west region,2011,1.04,0.54,0.7799999999999999,2.36,247,107,162,503
west region,2010,1.06,0.48000000000000004,0.76,2.3099999999999996,251,95,158,493
west region,2009,1.11,0.52,0.76,2.38,263,103,158,508
west region,2008,1.1500000000000001,0.51,0.76,2.42,273,101,158,516
west region,2007,1.1700000000000002,0.49,0.76,2.42,277,97,158,516
west region,2006,1.1300000000000001,0.51,0.76,2.4,268,101,158,512
west region,2005,1.1400000000000001,0.5,0.73,2.36,270,99,152,503
west region,2004,1.1700000000000002,0.48000000000000004,0.71,2.3499999999999996,277,95,147,501
west region,2003,1.1700000000000002,0.46,0.69,2.32,277,91,143,495
west region,2002,1.1800000000000002,0.44,0.6799999999999999,2.3,280,87,141,491
west region,2001,1.1900000000000002,0.43000000000000005,0.6799999999999999,2.3,282,85,141,491
west region,2000,1.21,0.43000000000000005,0.6799999999999999,2.32,287,85,141,495
west region,1999,1.2,0.43000000000000005,0.65,2.29,284,85,135,489
west region,1998,1.1900000000000002,0.43000000000000005,0.64,2.2600000000000002,282,85,133,482
west region,1997,1.2,0.44,0.65,2.3,284,87,135,491
west region,1996,1.22,0.43000000000000005,0.6699999999999999,2.32,289,85,139,495
west region,1995,1.23,0.4,0.6599999999999999,2.29,292,79,137,489
west region,1994,1.2,0.41000000000000003,0.7,2.3099999999999996,284,81,145,493
west region,1993,1.26,0.42000000000000004,0.72,2.3899999999999997,299,83,149,510
west region,1992,1.33,0.45,0.76,2.54,315,89,158,542
west region,1991,1.3,0.44,0.76,2.5,308,87,158,533
west region,1990,1.37,0.5,0.8400000000000001,2.71,325,99,174,578
west region,1989,1.35,0.51,0.8400000000000001,2.69,320,101,174,574
west region,1988,1.36,0.56,0.8600000000000001,2.79,322,111,179,595
west region,1987,1.3800000000000001,0.62,0.89,2.8899999999999997,327,123,185,617
west region,1986,1.3900000000000001,0.65,0.92,2.96,329,129,191,631
west region,1985,1.37,0.65,0.99,3.01,325,129,206,642
west region,1984,1.4,0.61,1.03,3.04,332,121,214,649
west region,1983,1.42,0.61,1.07,3.1,337,121,222,661
west region,1982,1.44,0.59,1.1,3.13,341,117,228,668
west region,1981,1.49,0.6,1.1600000000000001,3.24,353,119,241,691
west region,1980,1.47,0.59,1.1900000000000002,3.24,348,117,247,691
west region,1979,1.45,0.56,1.2,3.22,344,111,249,687
west region,1978,1.3900000000000001,0.55,1.23,3.18,329,109,255,678
west region,1977,1.35,0.53,1.2,3.08,320,105,249,657
