state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Kansas,2017,244,28,166,420
Kansas,2016,242,28,156,410
Kansas,2015,244,28,154,407
Kansas,2014,247,28,156,412
Kansas,2013,235,28,158,401
Kansas,2012,258,28,149,416
Kansas,2011,254,28,143,405
Kansas,2010,268,28,141,416
Kansas,2009,280,28,139,425
Kansas,2008,289,28,135,429
Kansas,2007,277,30,133,418
Kansas,2006,270,36,127,414
Kansas,2005,270,36,118,403
Kansas,2004,270,32,116,397
Kansas,2003,275,34,116,403
Kansas,2002,282,30,112,401
Kansas,2001,265,30,110,384
Kansas,2000,268,30,110,388
Kansas,1999,265,30,112,386
Kansas,1998,256,26,112,375
Kansas,1997,254,24,100,356
Kansas,1996,247,24,102,352
Kansas,1995,247,24,104,354
Kansas,1994,265,26,100,369
Kansas,1993,258,28,108,373
Kansas,1992,258,28,114,380
Kansas,1991,273,28,118,395
Kansas,1990,268,26,110,382
Kansas,1989,268,26,114,386
Kansas,1988,268,44,118,410
Kansas,1987,270,34,118,401
Kansas,1986,270,34,125,407
Kansas,1985,280,30,133,420
Kansas,1984,282,28,131,418
Kansas,1983,284,26,133,420
Kansas,1982,289,26,139,433
Kansas,1981,292,24,145,437
Kansas,1980,289,22,127,416
Kansas,1979,282,24,154,435
Kansas,1978,273,24,135,407
Kansas,1977,270,20,135,405
