state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Iowa,2016,308,46,181,512
Iowa,2015,311,44,172,503
Iowa,2014,318,42,168,506
Iowa,2013,315,44,164,499
Iowa,2012,322,46,168,512
Iowa,2011,327,42,162,506
Iowa,2010,329,36,152,491
Iowa,2009,337,36,149,493
Iowa,2008,339,34,145,491
Iowa,2007,334,34,139,480
Iowa,2006,329,32,135,469
Iowa,2005,332,32,127,461
Iowa,2004,329,32,118,452
Iowa,2003,327,30,112,442
Iowa,2002,327,28,106,435
Iowa,2001,322,26,104,425
Iowa,2000,320,26,104,422
Iowa,1999,318,26,100,416
Iowa,1998,311,24,96,405
Iowa,1997,303,24,93,395
Iowa,1996,303,24,93,395
Iowa,1995,299,22,91,384
Iowa,1994,308,20,91,393
Iowa,1993,303,22,100,399
Iowa,1992,311,26,96,405
Iowa,1991,313,32,108,429
Iowa,1990,318,36,112,439
Iowa,1989,308,38,108,429
Iowa,1988,313,40,110,439
Iowa,1987,318,44,122,457
Iowa,1986,320,40,112,446
Iowa,1985,315,28,120,439
Iowa,1984,329,24,129,454
Iowa,1983,332,26,135,465
Iowa,1982,332,26,135,467
Iowa,1981,341,26,143,482
Iowa,1980,334,26,147,480
Iowa,1979,332,22,147,474
Iowa,1978,327,22,154,476
Iowa,1977,315,20,154,463
