state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
oklahoma,2016,1.05,0.2,0.63,1.8800000000000001,249,40,131,401
oklahoma,2015,1.07,0.19,0.62,1.8900000000000001,254,38,129,403
oklahoma,2014,1.09,0.19,0.63,1.91,258,38,131,407
oklahoma,2013,1.11,0.19,0.62,1.93,263,38,129,412
oklahoma,2012,1.1400000000000001,0.19,0.61,1.94,270,38,127,414
oklahoma,2011,1.1400000000000001,0.19,0.59,1.92,270,38,122,410
oklahoma,2010,1.1600000000000001,0.18,0.58,1.92,275,36,120,410
oklahoma,2009,1.1700000000000002,0.18,0.58,1.93,277,36,120,412
oklahoma,2008,1.22,0.18,0.58,1.97,289,36,120,420
oklahoma,2007,1.1700000000000002,0.17,0.5700000000000001,1.91,277,34,118,407
oklahoma,2006,1.1300000000000001,0.17,0.56,1.87,268,34,116,399
oklahoma,2005,1.09,0.16,0.55,1.8,258,32,114,384
oklahoma,2004,1.11,0.13,0.46,1.7,263,26,96,363
oklahoma,2003,1.06,0.13,0.74,1.93,251,26,154,412
oklahoma,2002,1.12,0.13,0.58,1.82,265,26,120,388
oklahoma,2001,1.11,0.12000000000000001,0.43000000000000005,1.6500000000000001,263,24,89,352
oklahoma,2000,1.12,0.12000000000000001,0.44,1.6900000000000002,265,24,91,361
oklahoma,1999,1.11,0.12000000000000001,0.44,1.6800000000000002,263,24,91,358
oklahoma,1998,1.12,0.12000000000000001,0.43000000000000005,1.6800000000000002,265,24,89,358
oklahoma,1997,1.1,0.12000000000000001,0.43000000000000005,1.6500000000000001,261,24,89,352
oklahoma,1996,1.09,0.12000000000000001,0.45,1.6600000000000001,258,24,93,354
oklahoma,1995,1.1,0.12000000000000001,0.44,1.6600000000000001,261,24,91,354
oklahoma,1994,1.1500000000000001,0.13,0.5,1.78,273,26,104,380
oklahoma,1993,1.11,0.11,0.48000000000000004,1.7,263,22,100,363
oklahoma,1992,1.1300000000000001,0.13,0.55,1.81,268,26,114,386
oklahoma,1991,1.09,0.13,0.54,1.76,258,26,112,375
oklahoma,1990,1.12,0.14,0.55,1.81,265,28,114,386
oklahoma,1989,1.08,0.14,0.54,1.75,256,28,112,373
oklahoma,1988,1.07,0.14,0.52,1.73,254,28,108,369
oklahoma,1987,1.06,0.15000000000000002,0.58,1.79,251,30,120,382
oklahoma,1986,1.06,0.15000000000000002,0.62,1.84,251,30,129,393
oklahoma,1985,1.05,0.15000000000000002,0.6799999999999999,1.8800000000000001,249,30,141,401
oklahoma,1984,1,0.16,0.74,1.91,237,32,154,407
oklahoma,1983,1.04,0.16,0.77,1.97,247,32,160,420
oklahoma,1982,1.1500000000000001,0.16,0.8200000000000001,2.14,273,32,170,457
oklahoma,1981,1.1400000000000001,0.16,0.8300000000000001,2.13,270,32,172,454
oklahoma,1980,1.07,0.16,0.71,1.94,254,32,147,414
oklahoma,1979,1.03,0.13,0.7799999999999999,1.94,244,26,162,414
oklahoma,1978,1.05,0.14,0.8,2,249,28,166,427
oklahoma,1977,1.04,0.13,0.77,1.95,247,26,160,416
