state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
new jersey,2016,0.8200000000000001,0.59,0.92,2.34,194,117,191,499
new jersey,2015,0.8300000000000001,0.6,0.92,2.36,197,119,191,503
new jersey,2014,0.8400000000000001,0.62,0.92,2.3699999999999997,199,123,191,506
new jersey,2013,0.8400000000000001,0.61,0.92,2.36,199,121,191,503
new jersey,2012,0.88,0.6,0.9,2.3899999999999997,209,119,187,510
new jersey,2011,0.89,0.58,0.89,2.36,211,115,185,503
new jersey,2010,0.92,0.5700000000000001,0.8600000000000001,2.3499999999999996,218,113,179,501
new jersey,2009,0.91,0.5700000000000001,0.8600000000000001,2.34,216,113,179,499
new jersey,2008,0.93,0.55,0.8600000000000001,2.3499999999999996,220,109,179,501
new jersey,2007,0.93,0.55,0.8600000000000001,2.3299999999999996,220,109,179,497
new jersey,2006,0.9500000000000001,0.54,0.8500000000000001,2.3299999999999996,225,107,176,497
new jersey,2005,0.9500000000000001,0.52,0.8300000000000001,2.3,225,103,172,491
new jersey,2004,0.96,0.52,0.8200000000000001,2.3,228,103,170,491
new jersey,2003,0.9500000000000001,0.5,0.8,2.24,225,99,166,478
new jersey,2002,0.98,0.49,0.77,2.24,232,97,160,478
new jersey,2001,0.99,0.47000000000000003,0.75,2.2,235,93,156,469
new jersey,2000,0.97,0.47000000000000003,0.76,2.2,230,93,158,469
new jersey,1999,0.97,0.47000000000000003,0.74,2.18,230,93,154,465
new jersey,1998,0.98,0.46,0.71,2.15,232,91,147,459
new jersey,1997,0.99,0.46,0.74,2.19,235,91,154,467
new jersey,1996,1,0.44,0.76,2.2,237,87,158,469
new jersey,1995,1.06,0.44,0.7899999999999999,2.2800000000000002,251,87,164,486
new jersey,1994,1.04,0.43000000000000005,0.7899999999999999,2.27,247,85,164,484
new jersey,1993,1.07,0.42000000000000004,0.7899999999999999,2.29,254,83,164,489
new jersey,1992,1.07,0.44,0.8300000000000001,2.34,254,87,172,499
new jersey,1991,1.09,0.43000000000000005,0.8200000000000001,2.34,258,85,170,499
new jersey,1990,1.1500000000000001,0.48000000000000004,0.9500000000000001,2.58,273,95,197,550
new jersey,1989,1.1300000000000001,0.5,0.9500000000000001,2.58,268,99,197,550
new jersey,1988,1.1500000000000001,0.51,0.93,2.58,273,101,193,550
new jersey,1987,1.1800000000000002,0.54,1,2.72,280,107,208,580
new jersey,1986,1.1700000000000002,0.56,1.03,2.77,277,111,214,591
new jersey,1985,1.1700000000000002,0.55,1.07,2.79,277,109,222,595
new jersey,1984,1.1800000000000002,0.54,1.1,2.82,280,107,228,602
new jersey,1983,1.2,0.52,1.1300000000000001,2.8499999999999996,284,103,235,608
new jersey,1982,1.21,0.52,1.1300000000000001,2.8699999999999997,287,103,235,612
new jersey,1981,1.21,0.51,1.1500000000000001,2.8699999999999997,287,101,239,612
new jersey,1980,1.22,0.47000000000000003,1.1300000000000001,2.82,289,93,235,602
new jersey,1979,1.1800000000000002,0.43000000000000005,1.1,2.71,280,85,228,578
new jersey,1978,1.1700000000000002,0.41000000000000003,1.1,2.69,277,81,228,574
new jersey,1977,1.1600000000000001,0.4,1.1300000000000001,2.69,275,79,235,574
