state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Northeast Region,2018,237,101,187,514
Northeast Region,2017,242,105,183,516
Northeast Region,2016,244,103,181,516
Northeast Region,2015,247,101,176,512
Northeast Region,2014,244,105,174,512
Northeast Region,2013,251,103,172,512
Northeast Region,2012,251,101,170,510
Northeast Region,2011,249,99,166,503
Northeast Region,2010,251,97,162,497
Northeast Region,2009,254,95,160,493
Northeast Region,2008,258,93,158,493
Northeast Region,2007,258,93,156,493
Northeast Region,2006,254,89,152,480
Northeast Region,2005,254,87,149,474
Northeast Region,2004,254,85,145,469
Northeast Region,2003,256,81,141,463
Northeast Region,2002,261,79,137,461
Northeast Region,2001,261,75,133,454
Northeast Region,2000,256,75,137,452
Northeast Region,1999,254,75,131,444
Northeast Region,1998,254,73,127,437
Northeast Region,1997,254,71,131,439
Northeast Region,1996,254,69,133,439
Northeast Region,1995,263,69,133,450
Northeast Region,1994,263,67,139,452
Northeast Region,1993,268,67,141,459
Northeast Region,1992,270,69,149,471
Northeast Region,1991,282,67,152,482
Northeast Region,1990,292,75,166,514
Northeast Region,1989,289,77,174,521
Northeast Region,1988,296,79,179,535
Northeast Region,1987,296,85,189,553
Northeast Region,1986,294,87,193,559
Northeast Region,1985,296,85,203,567
Northeast Region,1984,296,85,210,576
Northeast Region,1983,311,85,214,589
Northeast Region,1982,311,85,220,597
Northeast Region,1981,311,83,222,597
Northeast Region,1980,315,79,226,604
Northeast Region,1979,306,75,226,589
Northeast Region,1978,299,71,228,582
Northeast Region,1977,296,67,228,574
