state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Idaho,2017,216,236,170,623
Idaho,2016,220,236,168,625
Idaho,2015,223,228,164,612
Idaho,2014,220,224,160,604
Idaho,2013,228,214,160,602
Idaho,2012,232,202,160,591
Idaho,2011,237,183,152,565
Idaho,2010,251,179,149,572
Idaho,2009,249,181,145,570
Idaho,2008,273,161,143,563
Idaho,2007,277,145,139,550
Idaho,2006,270,147,135,540
Idaho,2005,263,147,127,523
Idaho,2004,270,143,118,518
Idaho,2003,273,129,114,501
Idaho,2002,275,127,110,497
Idaho,2001,270,125,110,491
Idaho,2000,268,129,108,491
Idaho,1999,258,135,108,489
Idaho,1998,273,65,106,425
Idaho,1997,263,64,108,416
Idaho,1996,268,60,108,418
Idaho,1995,280,60,112,429
Idaho,1994,294,69,110,452
Idaho,1993,299,58,114,450
Idaho,1992,313,62,118,469
Idaho,1991,311,64,116,467
Idaho,1990,322,65,120,484
Idaho,1989,301,62,118,461
Idaho,1988,303,73,122,478
Idaho,1987,315,77,122,493
Idaho,1986,322,77,129,506
Idaho,1985,322,71,147,518
Idaho,1984,334,62,149,523
Idaho,1983,344,60,160,538
Idaho,1982,344,60,168,548
Idaho,1981,365,65,172,574
Idaho,1980,363,60,160,553
Idaho,1979,358,54,170,555
Idaho,1978,346,50,162,533
Idaho,1977,348,44,162,527
