state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
South Dakota,2016,346,62,228,612
South Dakota,2015,351,58,212,595
South Dakota,2014,356,50,206,585
South Dakota,2013,360,56,212,599
South Dakota,2012,363,52,199,589
South Dakota,2011,358,56,201,591
South Dakota,2010,363,48,191,574
South Dakota,2009,365,44,185,565
South Dakota,2008,372,44,181,567
South Dakota,2007,360,44,181,557
South Dakota,2006,358,38,164,533
South Dakota,2005,356,38,172,538
South Dakota,2004,358,36,158,523
South Dakota,2003,360,32,154,514
South Dakota,2002,358,30,139,499
South Dakota,2001,353,30,147,501
South Dakota,2000,346,30,143,491
South Dakota,1999,339,28,145,484
South Dakota,1998,334,26,141,476
South Dakota,1997,315,26,143,459
South Dakota,1996,315,26,141,459
South Dakota,1995,320,24,152,471
South Dakota,1994,327,24,152,478
South Dakota,1993,320,24,152,469
South Dakota,1992,325,30,154,482
South Dakota,1991,325,30,158,484
South Dakota,1990,322,36,166,499
South Dakota,1989,308,30,149,463
South Dakota,1988,296,32,164,471
South Dakota,1987,301,40,168,486
South Dakota,1986,299,40,172,489
South Dakota,1985,292,36,197,501
South Dakota,1984,303,34,187,501
South Dakota,1983,311,34,199,521
South Dakota,1982,306,36,201,521
South Dakota,1981,311,38,216,542
South Dakota,1980,308,36,222,546
South Dakota,1979,292,34,216,521
South Dakota,1978,284,34,218,516
South Dakota,1977,275,34,222,510
