state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
south region,2016,1.11,0.37,0.7899999999999999,2.27,263,73,164,484
south region,2015,1.12,0.36,0.77,2.24,265,71,160,478
south region,2014,1.11,0.35,0.75,2.22,263,69,156,474
south region,2013,1.1600000000000001,0.33999999999999997,0.74,2.24,275,67,154,478
south region,2012,1.1800000000000002,0.33999999999999997,0.73,2.25,280,67,152,480
south region,2011,1.1600000000000001,0.32999999999999996,0.71,2.21,275,65,147,471
south region,2010,1.1700000000000002,0.32,0.7,2.19,277,64,145,467
south region,2009,1.21,0.31,0.69,2.21,287,62,143,471
south region,2008,1.24,0.31,0.6799999999999999,2.23,294,62,141,476
south region,2007,1.26,0.31,0.6799999999999999,2.24,299,62,141,478
south region,2006,1.27,0.3,0.6699999999999999,2.23,301,60,139,476
south region,2005,1.26,0.29000000000000004,0.65,2.2,299,58,135,469
south region,2004,1.27,0.29000000000000004,0.64,2.19,301,58,133,467
south region,2003,1.27,0.27,0.64,2.18,301,54,133,465
south region,2002,1.28,0.26,0.62,2.16,303,52,129,461
south region,2001,1.29,0.25,0.6,2.14,306,50,125,457
south region,2000,1.3,0.25,0.61,2.17,308,50,127,463
south region,1999,1.3,0.25,0.6,2.15,308,50,125,459
south region,1998,1.3,0.24000000000000002,0.6,2.13,308,48,125,454
south region,1997,1.3,0.23,0.6,2.13,308,46,125,454
south region,1996,1.3,0.23,0.61,2.15,308,46,127,459
south region,1995,1.29,0.22,0.61,2.12,306,44,127,452
south region,1994,1.31,0.22,0.64,2.16,311,44,133,461
south region,1993,1.33,0.22,0.6599999999999999,2.2,315,44,137,469
south region,1992,1.33,0.23,0.69,2.2600000000000002,315,46,143,482
south region,1991,1.31,0.23,0.69,2.23,311,46,143,476
south region,1990,1.36,0.26,0.74,2.36,322,52,154,503
south region,1989,1.33,0.26,0.74,2.3299999999999996,315,52,154,497
south region,1988,1.34,0.27,0.74,2.3499999999999996,318,54,154,501
south region,1987,1.34,0.27,0.77,2.3899999999999997,318,54,160,510
south region,1986,1.36,0.28,0.7899999999999999,2.4299999999999997,322,56,164,518
south region,1985,1.34,0.27,0.8600000000000001,2.4699999999999998,318,54,179,527
south region,1984,1.34,0.27,0.9,2.51,318,54,187,535
south region,1983,1.36,0.25,0.91,2.52,322,50,189,538
south region,1982,1.37,0.23,0.9400000000000001,2.54,325,46,195,542
south region,1981,1.36,0.24000000000000002,0.98,2.58,322,48,203,550
south region,1980,1.3,0.23,0.97,2.5,308,46,201,533
south region,1979,1.27,0.2,0.99,2.46,301,40,206,525
south region,1978,1.25,0.19,1,2.44,296,38,208,521
south region,1977,1.21,0.19,0.98,2.3699999999999997,287,38,203,506
