state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
arkansas,2016,0.93,0.22,0.65,1.8,220,44,135,384
arkansas,2015,0.97,0.22,0.65,1.83,230,44,135,390
arkansas,2014,0.96,0.21000000000000002,0.62,1.79,228,42,129,382
arkansas,2013,1,0.2,0.6,1.81,237,40,125,386
arkansas,2012,1,0.2,0.6,1.81,237,40,125,386
arkansas,2011,0.98,0.18,0.56,1.72,232,36,116,367
arkansas,2010,1.02,0.19,0.5700000000000001,1.77,242,38,118,378
arkansas,2009,1.03,0.17,0.5700000000000001,1.78,244,34,118,380
arkansas,2008,1.05,0.17,0.55,1.77,249,34,114,378
arkansas,2007,1.02,0.15000000000000002,0.51,1.6900000000000002,242,30,106,361
arkansas,2006,1.05,0.16,0.54,1.75,249,32,112,373
arkansas,2005,1.03,0.15000000000000002,0.5,1.6700000000000002,244,30,104,356
arkansas,2004,1.04,0.15000000000000002,0.49,1.6800000000000002,247,30,102,358
arkansas,2003,1.06,0.14,0.56,1.77,251,28,116,378
arkansas,2002,1.09,0.14,0.53,1.75,258,28,110,373
arkansas,2001,1.08,0.13,0.53,1.74,256,26,110,371
arkansas,2000,1.09,0.12000000000000001,0.53,1.74,258,24,110,371
arkansas,1999,1.09,0.12000000000000001,0.54,1.75,258,24,112,373
arkansas,1998,1.1,0.11,0.51,1.73,261,22,106,369
arkansas,1997,1.07,0.12000000000000001,0.52,1.71,254,24,108,365
arkansas,1996,1.07,0.12000000000000001,0.53,1.72,254,24,110,367
arkansas,1995,1.06,0.11,0.51,1.6800000000000002,251,22,106,358
arkansas,1994,1.06,0.13,0.46,1.6500000000000001,251,26,96,352
arkansas,1993,1.1,0.11,0.58,1.79,261,22,120,382
arkansas,1992,1.1300000000000001,0.12000000000000001,0.65,1.9,268,24,135,405
arkansas,1991,1.12,0.11,0.58,1.81,265,22,120,386
arkansas,1990,1.12,0.13,0.61,1.86,265,26,127,397
arkansas,1989,1.1,0.13,0.58,1.82,261,26,120,388
arkansas,1988,1.09,0.14,0.54,1.78,258,28,112,380
arkansas,1987,1.09,0.11,0.53,1.74,258,22,110,371
arkansas,1986,1.08,0.09,0.49,1.6500000000000001,256,18,102,352
arkansas,1985,1.04,0.13,0.59,1.77,247,26,122,378
arkansas,1984,1.03,0.12000000000000001,0.64,1.8,244,24,133,384
arkansas,1983,1.03,0.13,0.63,1.79,244,26,131,382
arkansas,1982,1.03,0.12000000000000001,0.63,1.78,244,24,131,380
arkansas,1981,1.06,0.12000000000000001,0.6799999999999999,1.86,251,24,141,397
arkansas,1980,1,0.12000000000000001,0.6799999999999999,1.81,237,24,141,386
arkansas,1979,0.9,0.09,0.55,1.54,213,18,114,329
arkansas,1978,0.9500000000000001,0.11,0.71,1.76,225,22,147,375
arkansas,1977,0.89,0.1,0.61,1.61,211,20,127,343
