state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
South Region,2017,258,73,166,480
South Region,2016,263,73,164,484
South Region,2015,265,69,160,478
South Region,2014,263,69,156,474
South Region,2013,275,67,154,478
South Region,2012,280,67,152,480
South Region,2011,275,65,147,471
South Region,2010,277,64,145,467
South Region,2009,287,62,143,471
South Region,2008,296,62,141,476
South Region,2007,299,62,141,478
South Region,2006,301,60,139,476
South Region,2005,299,58,135,469
South Region,2004,301,58,133,467
South Region,2003,301,54,133,465
South Region,2002,303,52,129,461
South Region,2001,306,50,125,457
South Region,2000,308,50,127,463
South Region,1999,308,50,125,459
South Region,1998,308,48,125,454
South Region,1997,308,46,125,454
South Region,1996,308,46,127,459
South Region,1995,306,44,127,452
South Region,1994,311,44,133,461
South Region,1993,315,44,137,469
South Region,1992,315,46,143,482
South Region,1991,311,46,143,476
South Region,1990,322,52,154,503
South Region,1989,315,52,154,497
South Region,1988,318,54,154,501
South Region,1987,318,54,160,510
South Region,1986,322,56,164,518
South Region,1985,318,54,179,527
South Region,1984,318,54,187,535
South Region,1983,322,50,189,538
South Region,1982,325,46,195,542
South Region,1981,322,48,203,550
South Region,1980,308,46,201,533
South Region,1979,301,40,206,525
South Region,1978,296,38,208,521
South Region,1977,287,38,203,506
