state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
hawaii,2016,1.29,0.5700000000000001,0.77,2.63,306,113,160,561
hawaii,2015,1.28,0.56,0.77,2.6,303,111,160,555
hawaii,2014,1.27,0.54,0.77,2.59,301,107,160,553
hawaii,2013,1.25,0.54,0.77,2.56,296,107,160,546
hawaii,2012,1.26,0.53,0.75,2.54,299,105,156,542
hawaii,2011,1.25,0.53,0.73,2.52,296,105,152,538
hawaii,2010,1.25,0.52,0.71,2.48,296,103,147,529
hawaii,2009,1.27,0.51,0.71,2.4899999999999998,301,101,147,531
hawaii,2008,1.33,0.51,0.72,2.56,315,101,149,546
hawaii,2007,1.3,0.48000000000000004,0.77,2.55,308,95,160,544
hawaii,2006,1.28,0.47000000000000003,0.77,2.52,303,93,160,538
hawaii,2005,1.3,0.45,0.72,2.4699999999999998,308,89,149,527
hawaii,2004,1.3800000000000001,0.43000000000000005,0.7,2.5,327,85,145,533
hawaii,2003,1.3,0.42000000000000004,0.6599999999999999,2.38,308,83,137,508
hawaii,2002,1.27,0.39,0.62,2.2800000000000002,301,77,129,486
hawaii,2001,1.3,0.38,0.6,2.2800000000000002,308,75,125,486
hawaii,2000,1.33,0.39,0.6,2.32,315,77,125,495
hawaii,1999,1.31,0.39,0.56,2.2600000000000002,311,77,116,482
hawaii,1998,1.32,0.37,0.54,2.22,313,73,112,474
hawaii,1997,1.3800000000000001,0.4,0.56,2.3299999999999996,327,79,116,497
hawaii,1996,1.4,0.36,0.58,2.34,332,71,120,499
hawaii,1995,1.41,0.33999999999999997,0.5700000000000001,2.32,334,67,118,495
hawaii,1994,1.46,0.38,0.62,2.46,346,75,129,525
hawaii,1993,1.49,0.37,0.65,2.51,353,73,135,535
hawaii,1992,1.55,0.39,0.69,2.63,367,77,143,561
hawaii,1991,1.57,0.4,0.7,2.67,372,79,145,570
hawaii,1990,1.6400000000000001,0.4,0.7899999999999999,2.84,389,79,164,606
hawaii,1989,1.56,0.43000000000000005,0.8,2.79,370,85,166,595
hawaii,1988,1.6400000000000001,0.45,0.8,2.8899999999999997,389,89,166,617
hawaii,1987,1.59,0.41000000000000003,0.77,2.7600000000000002,377,81,160,589
hawaii,1986,1.61,0.44,0.8600000000000001,2.9099999999999997,382,87,179,621
hawaii,1985,1.61,0.42000000000000004,0.88,2.9099999999999997,382,83,183,621
hawaii,1984,1.6600000000000001,0.41000000000000003,0.92,2.9899999999999998,393,81,191,638
hawaii,1983,1.8900000000000001,0.44,1.1300000000000001,3.4499999999999997,448,87,235,736
hawaii,1982,1.8,0.48000000000000004,1.1400000000000001,3.4099999999999997,427,95,237,727
hawaii,1981,1.74,0.44,1.1600000000000001,3.34,412,87,241,713
hawaii,1980,1.6400000000000001,0.46,1.2,3.3,389,91,249,704
hawaii,1979,1.51,0.42000000000000004,1.21,3.14,358,83,251,670
hawaii,1978,1.33,0.44,1.25,3.02,315,87,260,644
hawaii,1977,1.55,0.35,1.21,3.11,367,69,251,663
