state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Alaska,2016,273,111,255,627
Alaska,2015,263,105,249,606
Alaska,2014,263,103,241,595
Alaska,2013,254,103,243,587
Alaska,2012,277,105,235,604
Alaska,2011,273,107,243,610
Alaska,2010,292,109,260,646
Alaska,2009,313,107,241,644
Alaska,2008,284,97,226,593
Alaska,2007,268,87,199,540
Alaska,2006,296,93,214,587
Alaska,2005,292,85,203,563
Alaska,2004,311,87,197,578
Alaska,2003,301,73,164,518
Alaska,2002,320,89,247,638
Alaska,2001,313,75,199,570
Alaska,2000,325,73,195,572
Alaska,1999,332,75,197,585
Alaska,1998,329,73,197,578
Alaska,1997,311,71,183,546
Alaska,1996,311,75,195,561
Alaska,1995,344,77,212,610
Alaska,1994,363,79,228,646
Alaska,1993,311,64,191,544
Alaska,1992,363,81,224,644
Alaska,1991,365,85,237,663
Alaska,1990,384,91,260,710
Alaska,1989,360,87,247,672
Alaska,1988,365,93,247,685
Alaska,1987,379,103,262,721
Alaska,1986,391,109,260,736
Alaska,1985,386,111,307,785
Alaska,1984,396,111,311,794
Alaska,1983,405,117,343,843
Alaska,1982,401,107,349,836
Alaska,1981,398,111,372,858
Alaska,1980,365,99,349,794
Alaska,1979,351,91,338,764
Alaska,1978,329,89,347,749
Alaska,1977,282,83,351,704
