state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
midwest region,2016,1.1400000000000001,0.35,0.8700000000000001,2.3699999999999997,270,69,181,506
midwest region,2015,1.1500000000000001,0.35,0.8600000000000001,2.36,273,69,179,503
midwest region,2014,1.1600000000000001,0.33999999999999997,0.8400000000000001,2.3499999999999996,275,67,174,501
midwest region,2013,1.1700000000000002,0.33999999999999997,0.8300000000000001,2.34,277,67,172,499
midwest region,2012,1.2,0.32999999999999996,0.8200000000000001,2.3499999999999996,284,65,170,501
midwest region,2011,1.2,0.32,0.7899999999999999,2.3099999999999996,284,64,164,493
midwest region,2010,1.23,0.3,0.77,2.3,292,60,160,491
midwest region,2009,1.25,0.3,0.76,2.32,296,60,158,495
midwest region,2008,1.27,0.29000000000000004,0.76,2.3299999999999996,301,58,158,497
midwest region,2007,1.28,0.3,0.74,2.32,303,60,154,495
midwest region,2006,1.27,0.28,0.72,2.27,301,56,149,484
midwest region,2005,1.27,0.27,0.71,2.25,301,54,147,480
midwest region,2004,1.28,0.26,0.6799999999999999,2.22,303,52,141,474
midwest region,2003,1.28,0.26,0.6799999999999999,2.23,303,52,141,476
midwest region,2002,1.3,0.25,0.64,2.19,308,50,133,467
midwest region,2001,1.29,0.23,0.65,2.17,306,46,135,463
midwest region,2000,1.29,0.24000000000000002,0.63,2.16,306,48,131,461
midwest region,1999,1.29,0.24000000000000002,0.63,2.15,306,48,131,459
midwest region,1998,1.28,0.23,0.63,2.14,303,46,131,457
midwest region,1997,1.26,0.23,0.62,2.11,299,46,129,450
midwest region,1996,1.28,0.23,0.62,2.12,303,46,129,452
midwest region,1995,1.29,0.22,0.62,2.12,306,44,129,452
midwest region,1994,1.3,0.22,0.63,2.14,308,44,131,457
midwest region,1993,1.3,0.22,0.6699999999999999,2.18,308,44,139,465
midwest region,1992,1.31,0.23,0.6799999999999999,2.21,311,46,141,471
midwest region,1991,1.35,0.23,0.6699999999999999,2.25,320,46,139,480
midwest region,1990,1.3800000000000001,0.26,0.74,2.3699999999999997,327,52,154,506
midwest region,1989,1.36,0.26,0.72,2.3499999999999996,322,52,149,501
midwest region,1988,1.3800000000000001,0.29000000000000004,0.75,2.4099999999999997,327,58,156,514
midwest region,1987,1.3800000000000001,0.3,0.77,2.4499999999999997,327,60,160,523
midwest region,1986,1.3800000000000001,0.3,0.7799999999999999,2.46,327,60,162,525
midwest region,1985,1.37,0.28,0.8400000000000001,2.4899999999999998,325,56,174,531
midwest region,1984,1.4,0.27,0.8400000000000001,2.52,332,54,174,538
midwest region,1983,1.42,0.25,0.8700000000000001,2.54,337,50,181,542
midwest region,1982,1.42,0.27,0.88,2.57,337,54,183,548
midwest region,1981,1.42,0.26,0.93,2.61,337,52,193,557
midwest region,1980,1.42,0.24000000000000002,0.96,2.63,337,48,199,561
midwest region,1979,1.4,0.23,0.9500000000000001,2.58,332,46,197,550
midwest region,1978,1.35,0.22,0.9500000000000001,2.52,320,44,197,538
midwest region,1977,1.32,0.21000000000000002,0.96,2.4899999999999998,313,42,199,531
