state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Nebraska,2017,299,44,149,469
Nebraska,2016,308,44,149,476
Nebraska,2015,318,44,147,484
Nebraska,2014,325,42,147,491
Nebraska,2013,329,42,147,493
Nebraska,2012,334,42,143,493
Nebraska,2011,329,42,143,486
Nebraska,2010,332,42,139,486
Nebraska,2009,337,40,139,489
Nebraska,2008,344,40,141,497
Nebraska,2007,339,40,139,493
Nebraska,2006,337,42,147,501
Nebraska,2005,334,40,141,489
Nebraska,2004,341,40,135,486
Nebraska,2003,339,38,131,478
Nebraska,2002,344,34,127,476
Nebraska,2001,339,32,125,469
Nebraska,2000,341,34,129,476
Nebraska,1999,337,34,125,467
Nebraska,1998,329,36,120,461
Nebraska,1997,320,36,116,446
Nebraska,1996,320,36,118,450
Nebraska,1995,320,38,118,448
Nebraska,1994,329,36,118,457
Nebraska,1993,325,36,122,457
Nebraska,1992,325,36,127,461
Nebraska,1991,332,36,127,467
Nebraska,1990,334,40,133,480
Nebraska,1989,334,40,133,482
Nebraska,1988,334,44,137,491
Nebraska,1987,339,46,139,497
Nebraska,1986,334,46,143,497
Nebraska,1985,334,44,158,510
Nebraska,1984,346,42,160,518
Nebraska,1983,356,42,166,535
Nebraska,1982,358,56,120,506
Nebraska,1981,372,40,183,565
Nebraska,1980,370,38,183,561
Nebraska,1979,360,36,185,553
Nebraska,1978,351,36,187,546
Nebraska,1977,346,34,189,542
