state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Delaware,2016,284,145,372,794
Delaware,2015,280,143,361,779
Delaware,2014,287,143,345,766
Delaware,2013,296,143,338,766
Delaware,2012,313,137,328,766
Delaware,2011,318,137,316,757
Delaware,2010,322,131,282,721
Delaware,2009,313,129,278,706
Delaware,2008,320,113,255,672
Delaware,2007,327,117,255,681
Delaware,2006,334,117,262,695
Delaware,2005,337,115,257,693
Delaware,2004,337,113,266,698
Delaware,2003,327,113,245,666
Delaware,2002,329,103,228,642
Delaware,2001,329,97,222,627
Delaware,2000,322,95,218,617
Delaware,1999,332,95,214,619
Delaware,1998,334,93,214,621
Delaware,1997,325,91,206,599
Delaware,1996,329,89,195,593
Delaware,1995,308,79,191,559
Delaware,1994,339,75,197,589
Delaware,1993,346,69,197,589
Delaware,1992,332,71,201,582
Delaware,1991,332,69,197,576
Delaware,1990,341,73,237,629
Delaware,1989,339,77,239,631
Delaware,1988,346,81,251,657
Delaware,1987,346,85,255,666
Delaware,1986,346,89,260,674
Delaware,1985,351,81,272,683
Delaware,1984,360,77,268,683
Delaware,1983,367,69,280,693
Delaware,1982,365,67,287,695
Delaware,1981,360,65,291,691
Delaware,1980,341,58,284,663
Delaware,1979,320,52,272,623
Delaware,1978,311,48,270,608
Delaware,1977,308,46,276,610
