state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Hawaii,2018,303,117,164,567
Hawaii,2017,306,115,164,567
Hawaii,2016,306,113,162,563
Hawaii,2015,303,111,160,557
Hawaii,2014,301,107,160,553
Hawaii,2013,296,107,158,546
Hawaii,2012,296,105,156,540
Hawaii,2011,296,105,152,535
Hawaii,2010,296,103,147,529
Hawaii,2009,301,101,147,531
Hawaii,2008,315,101,149,546
Hawaii,2007,308,95,160,544
Hawaii,2006,303,93,160,538
Hawaii,2005,308,89,149,527
Hawaii,2004,327,85,145,533
Hawaii,2003,308,83,137,508
Hawaii,2002,301,77,129,486
Hawaii,2001,308,75,125,486
Hawaii,2000,315,77,125,495
Hawaii,1999,311,77,116,482
Hawaii,1998,313,73,112,474
Hawaii,1997,327,79,116,497
Hawaii,1996,332,71,120,499
Hawaii,1995,334,67,118,495
Hawaii,1994,346,75,129,525
Hawaii,1993,353,73,135,535
Hawaii,1992,367,77,143,561
Hawaii,1991,372,79,145,570
Hawaii,1990,389,79,164,606
Hawaii,1989,370,85,166,595
Hawaii,1988,389,89,166,617
Hawaii,1987,377,81,160,589
Hawaii,1986,382,87,179,621
Hawaii,1985,382,83,183,621
Hawaii,1984,393,81,191,638
Hawaii,1983,448,87,235,736
Hawaii,1982,427,95,237,727
Hawaii,1981,412,87,241,713
Hawaii,1980,389,91,249,704
Hawaii,1979,358,83,251,670
Hawaii,1978,315,87,260,644
Hawaii,1977,367,69,251,663
