state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
West Region,2016,244,109,174,516
West Region,2015,249,103,170,508
West Region,2014,251,109,166,514
West Region,2013,247,109,168,514
West Region,2012,249,113,168,516
West Region,2011,247,107,162,503
West Region,2010,251,95,158,493
West Region,2009,263,103,158,508
West Region,2008,273,101,158,516
West Region,2007,277,97,158,516
West Region,2006,268,101,158,512
West Region,2005,270,99,152,503
West Region,2004,277,95,147,501
West Region,2003,277,91,143,495
West Region,2002,280,87,141,491
West Region,2001,282,85,141,491
West Region,2000,287,85,141,495
West Region,1999,284,85,135,489
West Region,1998,282,85,133,482
West Region,1997,284,87,135,491
West Region,1996,289,85,139,495
West Region,1995,292,79,137,489
West Region,1994,284,81,145,493
West Region,1993,299,83,149,510
West Region,1992,315,89,158,542
West Region,1991,308,87,158,533
West Region,1990,325,99,174,578
West Region,1989,320,101,174,574
West Region,1988,322,111,179,595
West Region,1987,327,123,185,617
West Region,1986,329,129,191,631
West Region,1985,325,129,206,642
West Region,1984,332,121,214,649
West Region,1983,337,121,222,661
West Region,1982,341,117,228,668
West Region,1981,353,119,241,691
West Region,1980,348,117,247,691
West Region,1979,344,111,249,687
West Region,1978,329,109,255,678
West Region,1977,320,105,249,657
