state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Arizona,2018,256,77,164,480
Arizona,2017,263,77,164,489
Arizona,2016,270,79,164,495
Arizona,2015,275,79,162,499
Arizona,2014,280,79,164,506
Arizona,2013,265,83,168,501
Arizona,2012,270,89,174,518
Arizona,2011,273,87,166,510
Arizona,2010,292,81,158,510
Arizona,2009,289,77,160,508
Arizona,2008,308,81,160,529
Arizona,2007,329,67,162,535
Arizona,2006,318,75,164,535
Arizona,2005,320,79,158,535
Arizona,2004,332,67,147,521
Arizona,2003,334,73,147,531
Arizona,2002,346,65,143,529
Arizona,2001,348,65,145,533
Arizona,2000,351,62,147,533
Arizona,1999,348,67,143,535
Arizona,1998,341,65,141,523
Arizona,1997,344,62,141,521
Arizona,1996,360,65,152,550
Arizona,1995,348,58,141,521
Arizona,1994,360,58,145,533
Arizona,1993,375,54,158,559
Arizona,1992,375,62,166,574
Arizona,1991,375,69,162,578
Arizona,1990,377,73,166,591
Arizona,1989,386,69,172,599
Arizona,1988,379,81,179,612
Arizona,1987,389,89,174,625
Arizona,1986,412,89,187,659
Arizona,1985,393,89,206,663
Arizona,1984,367,87,218,649
Arizona,1983,379,85,206,644
Arizona,1982,405,77,203,655
Arizona,1981,417,83,208,678
Arizona,1980,398,71,201,642
Arizona,1979,405,71,222,672
Arizona,1978,393,69,214,649
Arizona,1977,379,64,206,623
