state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Vermont,2016,370,157,152,657
Vermont,2015,372,155,152,655
Vermont,2014,367,155,149,651
Vermont,2013,365,147,149,640
Vermont,2012,358,139,147,623
Vermont,2011,346,135,147,608
Vermont,2010,341,127,147,597
Vermont,2009,339,127,145,591
Vermont,2008,344,125,147,595
Vermont,2007,346,123,145,593
Vermont,2006,344,119,143,582
Vermont,2005,341,113,141,574
Vermont,2004,318,109,137,546
Vermont,2003,318,103,135,535
Vermont,2002,318,101,131,529
Vermont,2001,318,95,131,523
Vermont,2000,313,97,131,518
Vermont,1999,313,95,129,516
Vermont,1998,311,91,129,510
Vermont,1997,306,89,131,506
Vermont,1996,320,85,133,516
Vermont,1995,303,81,137,501
Vermont,1994,318,83,154,533
Vermont,1993,318,87,154,538
Vermont,1992,320,87,162,548
Vermont,1991,334,91,170,574
Vermont,1990,348,95,176,597
Vermont,1989,353,105,185,621
Vermont,1988,365,113,197,651
Vermont,1987,375,117,208,678
Vermont,1986,372,119,220,687
Vermont,1985,358,111,228,676
Vermont,1984,353,97,241,672
Vermont,1983,363,99,249,689
Vermont,1982,351,99,257,687
Vermont,1981,353,99,278,708
Vermont,1980,339,95,287,702
Vermont,1979,363,91,305,738
Vermont,1978,356,91,324,751
Vermont,1977,332,87,322,721
