state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Montana,2016,384,103,203,663
Montana,2015,386,99,199,659
Montana,2014,384,99,199,657
Montana,2013,386,97,197,655
Montana,2012,391,95,195,655
Montana,2011,382,93,187,634
Montana,2010,391,89,183,636
Montana,2009,389,89,181,631
Montana,2008,393,87,181,634
Montana,2007,393,85,176,627
Montana,2006,386,81,170,612
Montana,2005,377,83,160,593
Montana,2004,372,67,156,567
Montana,2003,370,65,149,559
Montana,2002,384,65,145,565
Montana,2001,375,60,141,546
Montana,2000,372,58,141,542
Montana,1999,370,56,139,535
Montana,1998,363,54,135,523
Montana,1997,334,54,133,495
Montana,1996,367,52,133,523
Montana,1995,360,50,162,544
Montana,1994,372,48,145,535
Montana,1993,353,50,152,527
Montana,1992,377,52,156,557
Montana,1991,382,56,158,563
Montana,1990,382,58,160,570
Montana,1989,377,58,152,557
Montana,1988,382,64,160,576
Montana,1987,377,67,162,576
Montana,1986,379,67,170,589
Montana,1985,384,65,185,606
Montana,1984,405,64,193,634
Montana,1983,427,64,206,663
Montana,1982,431,64,212,674
Montana,1981,450,65,218,698
Montana,1980,431,69,214,683
Montana,1979,434,81,218,702
Montana,1978,431,40,222,659
Montana,1977,431,40,228,663
