state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
north carolina,2016,1.05,0.43000000000000005,0.64,2.13,249,85,133,454
north carolina,2015,1.05,0.42000000000000004,0.63,2.1,249,83,131,448
north carolina,2014,1.04,0.41000000000000003,0.61,2.06,247,81,127,439
north carolina,2013,1.04,0.39,0.6,2.03,247,77,125,433
north carolina,2012,1.07,0.38,0.6,2.05,254,75,125,437
north carolina,2011,1.05,0.37,0.58,2.01,249,73,120,429
north carolina,2010,1.08,0.35,0.5700000000000001,2.01,256,69,118,429
north carolina,2009,1.09,0.32999999999999996,0.5700000000000001,1.99,258,65,118,425
north carolina,2008,1.1300000000000001,0.33999999999999997,0.5700000000000001,2.03,268,67,118,433
north carolina,2007,1.1500000000000001,0.32999999999999996,0.56,2.04,273,65,116,435
north carolina,2006,1.1400000000000001,0.32,0.54,2.01,270,64,112,429
north carolina,2005,1.1300000000000001,0.3,0.54,1.96,268,60,112,418
north carolina,2004,1.1600000000000001,0.3,0.53,1.99,275,60,110,425
north carolina,2003,1.21,0.27,0.52,2,287,54,108,427
north carolina,2002,1.25,0.27,0.5,2.02,296,54,104,431
north carolina,2001,1.24,0.25,0.51,2,294,50,106,427
north carolina,2000,1.22,0.25,0.52,1.98,289,50,108,422
north carolina,1999,1.21,0.24000000000000002,0.51,1.96,287,48,106,418
north carolina,1998,1.21,0.23,0.5,1.94,287,46,104,414
north carolina,1997,1.22,0.23,0.52,1.97,289,46,108,420
north carolina,1996,1.21,0.24000000000000002,0.52,1.98,287,48,108,422
north carolina,1995,1.12,0.21000000000000002,0.53,1.87,265,42,110,399
north carolina,1994,1.1400000000000001,0.21000000000000002,0.54,1.8900000000000001,270,42,112,403
north carolina,1993,1.1400000000000001,0.22,0.56,1.92,270,44,116,410
north carolina,1992,1.1400000000000001,0.23,0.59,1.96,270,46,122,418
north carolina,1991,1.11,0.24000000000000002,0.6,1.96,263,48,125,418
north carolina,1990,1.1600000000000001,0.27,0.65,2.08,275,54,135,444
north carolina,1989,1.1300000000000001,0.27,0.6599999999999999,2.05,268,54,137,437
north carolina,1988,1.11,0.28,0.6799999999999999,2.08,263,56,141,444
north carolina,1987,1.11,0.28,0.71,2.09,263,56,147,446
north carolina,1986,1.11,0.3,0.74,2.15,263,60,154,459
north carolina,1985,1.1,0.27,0.76,2.13,261,54,158,454
north carolina,1984,1.11,0.24000000000000002,0.7799999999999999,2.13,263,48,162,454
north carolina,1983,1.11,0.22,0.8,2.12,263,44,166,452
north carolina,1982,1.07,0.21000000000000002,0.8500000000000001,2.13,254,42,176,454
north carolina,1981,1.1,0.21000000000000002,0.8600000000000001,2.16,261,42,179,461
north carolina,1980,1.1,0.2,0.8500000000000001,2.16,261,40,176,461
north carolina,1979,1.04,0.21000000000000002,0.8400000000000001,2.09,247,42,174,446
north carolina,1978,1.02,0.19,0.8300000000000001,2.04,242,38,172,435
north carolina,1977,0.98,0.19,0.81,1.98,232,38,168,422
