state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
michigan,2016,1.04,0.39,0.91,2.34,247,77,189,499
michigan,2015,0.99,0.37,0.89,2.25,235,73,185,480
michigan,2014,1.05,0.39,0.88,2.32,249,77,183,495
michigan,2013,1.02,0.37,0.8500000000000001,2.24,242,73,176,478
michigan,2012,1.08,0.35,0.8400000000000001,2.27,256,69,174,484
michigan,2011,1.07,0.35,0.8300000000000001,2.25,254,69,172,480
michigan,2010,1.09,0.32999999999999996,0.81,2.23,258,65,168,476
michigan,2009,1.11,0.32,0.8,2.23,263,64,166,476
michigan,2008,1.1300000000000001,0.3,0.7899999999999999,2.22,268,60,164,474
michigan,2007,1.1300000000000001,0.3,0.77,2.19,268,60,160,467
michigan,2006,1.1300000000000001,0.29000000000000004,0.76,2.18,268,58,158,465
michigan,2005,1.1500000000000001,0.28,0.74,2.16,273,56,154,461
michigan,2004,1.1600000000000001,0.27,0.72,2.15,275,54,149,459
michigan,2003,1.1700000000000002,0.28,0.72,2.17,277,56,149,463
michigan,2002,1.1900000000000002,0.25,0.69,2.13,282,50,143,454
michigan,2001,1.1800000000000002,0.23,0.6799999999999999,2.09,280,46,141,446
michigan,2000,1.2,0.24000000000000002,0.6799999999999999,2.13,284,48,141,454
michigan,1999,1.2,0.24000000000000002,0.6699999999999999,2.11,284,48,139,450
michigan,1998,1.2,0.22,0.6799999999999999,2.1,284,44,141,448
michigan,1997,1.1900000000000002,0.22,0.6599999999999999,2.07,282,44,137,442
michigan,1996,1.22,0.22,0.6599999999999999,2.09,289,44,137,446
michigan,1995,1.2,0.19,0.6599999999999999,2.06,284,38,137,439
michigan,1994,1.23,0.2,0.6699999999999999,2.1,292,40,139,448
michigan,1993,1.26,0.2,0.72,2.18,299,40,149,465
michigan,1992,1.26,0.22,0.74,2.21,299,44,154,471
michigan,1991,1.3,0.22,0.74,2.2600000000000002,308,44,154,482
michigan,1990,1.33,0.28,0.8,2.42,315,56,166,516
michigan,1989,1.29,0.3,0.8,2.3899999999999997,306,60,166,510
michigan,1988,1.32,0.32,0.8400000000000001,2.48,313,64,174,529
michigan,1987,1.32,0.32999999999999996,0.8500000000000001,2.51,313,65,176,535
michigan,1986,1.33,0.32999999999999996,0.9,2.57,315,65,187,548
michigan,1985,1.31,0.32,0.96,2.59,311,64,199,553
michigan,1984,1.33,0.31,0.98,2.61,315,62,203,557
michigan,1983,1.36,0.28,0.98,2.62,322,56,203,559
michigan,1982,1.35,0.39,0.99,2.73,320,77,206,582
michigan,1981,1.34,0.29000000000000004,1,2.63,318,58,208,561
michigan,1980,1.34,0.28,1.02,2.65,318,56,212,565
michigan,1979,1.36,0.25,1.03,2.65,322,50,214,565
michigan,1978,1.43,0.25,1.05,2.74,339,50,218,585
michigan,1977,1.45,0.24000000000000002,1.02,2.71,344,48,212,578
