ori,ori9,fips_state_county_code,crosswalk_agency_name,census_name
AL00402,AL0040200,01001,Autaugaville Police Department,Autaugaville Town
AL00401,AL0040100,01001,Prattville Police Department,Prattville City
AL00400,AL0040000,01001,Autauga County Sheriff's Office,Autauga County
AL00511,AL0051100,01003,Faulkner State Community College Police Dept,State Of Alabama
AL00501,AL0050100,01003,Bay Minette Police Department,Bay Minette City
AL00508,AL0050800,01003,Daphne Police Department,Daphne City
AL00510,AL0051000,01003,Elberta Police Department,Elberta Town
AL00502,AL0050200,01003,Fairhope Police Department,Fairhope City
AL00503,AL0050300,01003,Foley Police Department,Foley City
AL00504,AL0050400,01003,Gulf Shores Police Department,Gulf Shores City
AL00506,AL0050600,01003,Loxley Police Department,Loxley Town
AL00512,AL0051200,01003,Orange Beach Police Department,Orange Beach City
AL00505,AL0050500,01003,Robertsdale Police Department,Robertsdale City
AL00507,AL0050700,01003,Silverhill Police Department,Silverhill Town
AL00513,AL0051300,01003,Spanish Fort Police Department,Spanish Fort City
AL00509,AL0050900,01003,Summerdale Police Department,Summerdale Town
AL00500,AL0050000,01003,Baldwin County Sheriff's Office,Baldwin County
AL00607,AL0060700,01005,Baker Hill Police Department,Bakerhill Town
AL00602,AL0060200,01005,Clayton Police Department,Clayton Town
AL00603,AL0060300,01005,Clio Police Department,Clio City
AL00601,AL0060100,01005,Eufaula Police Department,Eufaula City
AL00604,AL0060400,01005,Louisville Police Department,Louisville Town
AL00600,AL0060000,01005,Barbour County Sheriff's Office,Barbour County
AL00702,AL0070200,01007,Brent Police Department,Brent City
AL00701,AL0070100,01007,Centreville Police Department,Centreville City
AL00703,AL0070300,01007,West Blocton Police Department,West Blocton Town
AL00704,AL0070400,01007,Woodstock Police Department,Woodstock Town
AL00700,AL0070000,01007,Bibb County Sheriff's Office,Bibb County
AL00802,AL0080200,01009,Blountsville Police Department,Blountsville Town
AL00803,AL0080300,01009,Cleveland Police Department,Cleveland Town
AL00805,AL0080500,01009,Highland Lake Police Dept,Highland Lake Town
AL00801,AL0080100,01009,Oneonta Police Department,Oneonta City
AL00804,AL0080400,01009,Snead Police Department,Snead Town
AL00800,AL0080000,01009,Blount County Sheriff's Office,Blount County
AL00901,AL0090100,01011,Union Springs Police Department,Union Springs City
AL00900,AL0090000,01011,Bullock County Sheriff's Office,Bullock County
AL01002,AL0100200,01013,Georgiana Police Department,Georgiana City
AL01001,AL0100100,01013,Greenville Police Department,Greenville City
AL01003,AL0100300,01013,Mckenzie Police Department,Mckenzie Town
AL01000,AL0100000,01013,Butler County Sheriff's Office,Butler County
AL01101,AL0110100,01015,Anniston Police Department,Anniston City
AL01106,AL0110600,01015,Hobson City Pd Anniston,Hobson City Town
AL01102,AL0110200,01015,Jacksonville Police Department,Jacksonville City
AL01108,AL0110800,01015,Jacksonville State University Police Department,State Of Alabama
AL01107,AL0110700,01015,Ohatchee Police Department,Ohatchee Town
AL01105,AL0110500,01015,Oxford Police Department,Oxford City
AL01103,AL0110300,01015,Piedmont Police Department,Piedmont City
AL01104,AL0110400,01015,Weaver Police Department,Weaver City
AL01100,AL0110000,01015,Calhoun County Sheriff's Office,Calhoun County
