sector,fiscal_year,total_apprehensions
Yuma,1960,633
Yuma,1961,573
Yuma,1962,511
Yuma,1963,719
Yuma,1964,696
Yuma,1965,1651
Yuma,1966,4050
Yuma,1967,4269
Yuma,1968,6004
Yuma,1969,8833
Yuma,1970,13469
Yuma,1971,15228
Yuma,1972,19946
Yuma,1973,36286
Yuma,1974,49824
Yuma,1975,50628
Yuma,1976,42598
Yuma,1977,48669
Yuma,1978,53338
Yuma,1979,52580
Yuma,1980,45862
Yuma,1981,45483
Yuma,1982,48236
Yuma,1983,63595
Yuma,1984,59777
Yuma,1985,67737
Yuma,1986,93219
Yuma,1987,67277
Yuma,1988,42723
Yuma,1989,31387
Yuma,1990,36387
Yuma,1991,28646
Yuma,1992,24892
Yuma,1993,23548
Yuma,1994,21211
Yuma,1995,20894
Yuma,1996,28310
Yuma,1997,30177
Yuma,1998,76195
Yuma,1999,93388
Yuma,2000,108747
Yuma,2001,78385
Yuma,2002,42654
Yuma,2003,56638
Yuma,2004,98060
Yuma,2005,138438
Yuma,2006,118549
Yuma,2007,37992
Yuma,2008,8363
Yuma,2009,6951
Yuma,2010,7116
Yuma,2011,5833
Yuma,2012,6500
Yuma,2013,6106
Yuma,2014,5902
Yuma,2015,7142
Yuma,2016,14170
Yuma,2017,12847
Yuma,2018,26244
