sector,fiscal_year,number_of_agents
El_Centro,1992,217
El_Centro,1993,198
El_Centro,1994,194
El_Centro,1995,190
El_Centro,1996,189
El_Centro,1997,249
El_Centro,1998,383
El_Centro,1999,423
El_Centro,2000,502
El_Centro,2001,589
El_Centro,2002,683
El_Centro,2003,755
El_Centro,2004,734
El_Centro,2005,684
El_Centro,2006,713
El_Centro,2007,894
El_Centro,2008,1080
El_Centro,2009,1187
El_Centro,2010,1181
El_Centro,2011,1164
El_Centro,2012,1168
El_Centro,2013,1141
El_Centro,2014,1074
El_Centro,2015,1004
El_Centro,2016,927
El_Centro,2017,870
El_Centro,2018,844
