sector,fiscal_year,number_of_agents
Northern_Border_Total,1992,299
Northern_Border_Total,1993,310
Northern_Border_Total,1994,306
Northern_Border_Total,1995,296
Northern_Border_Total,1996,292
Northern_Border_Total,1997,267
Northern_Border_Total,1998,289
Northern_Border_Total,1999,311
Northern_Border_Total,2000,306
Northern_Border_Total,2001,340
Northern_Border_Total,2002,492
Northern_Border_Total,2003,569
Northern_Border_Total,2004,979
Northern_Border_Total,2005,988
Northern_Border_Total,2006,919
Northern_Border_Total,2007,1098
Northern_Border_Total,2008,1363
Northern_Border_Total,2009,1887
Northern_Border_Total,2010,2263
Northern_Border_Total,2011,2237
Northern_Border_Total,2012,2206
Northern_Border_Total,2013,2156
Northern_Border_Total,2014,2093
Northern_Border_Total,2015,2051
Northern_Border_Total,2016,2059
Northern_Border_Total,2017,2048
Northern_Border_Total,2018,2097
