sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Detroit,2000,4114,NA,NA
Detroit,2001,4212,NA,NA
Detroit,2002,3022,NA,NA
Detroit,2003,4690,NA,NA
Detroit,2004,3824,NA,NA
Detroit,2005,3586,NA,NA
Detroit,2006,2562,NA,NA
Detroit,2007,1804,NA,NA
Detroit,2008,1922,NA,NA
Detroit,2009,2314,NA,NA
Detroit,2010,3338,66,NA
Detroit,2011,3062,42,NA
Detroit,2012,1900,20,NA
Detroit,2013,1300,12,12
Detroit,2014,1294,2,16
Detroit,2015,1274,8,8
Detroit,2016,1432,6,6
Detroit,2017,2140,22,18
Detroit,2018,3860,44,12
