sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Ramey,2000,3462,NA,NA
Ramey,2001,3904,NA,NA
Ramey,2002,1670,NA,NA
Ramey,2003,3376,NA,NA
Ramey,2004,3626,NA,NA
Ramey,2005,3238,NA,NA
Ramey,2006,2872,NA,NA
Ramey,2007,1096,NA,NA
Ramey,2008,1144,NA,NA
Ramey,2009,836,NA,NA
Ramey,2010,796,8,NA
Ramey,2011,1284,2,NA
Ramey,2012,1404,10,NA
Ramey,2013,1848,10,12
Ramey,2014,1916,32,4
Ramey,2015,1114,10,16
Ramey,2016,1388,6,36
Ramey,2017,776,2,30
Ramey,2018,560,6,0
