sector,fiscal_year,total_apprehensions
Southwest Border Total,1960,21022
Southwest Border Total,1961,21745
Southwest Border Total,1962,21103
Southwest Border Total,1963,29644
Southwest Border Total,1964,32519
Southwest Border Total,1965,40020
Southwest Border Total,1966,62640
Southwest Border Total,1967,73973
Southwest Border Total,1968,96641
Southwest Border Total,1969,137968
Southwest Border Total,1970,201780
Southwest Border Total,1971,263991
Southwest Border Total,1972,321326
Southwest Border Total,1973,441066
Southwest Border Total,1974,571606
Southwest Border Total,1975,512264
Southwest Border Total,1976,607499
Southwest Border Total,1977,733193
Southwest Border Total,1978,789441
Southwest Border Total,1979,795798
Southwest Border Total,1980,690554
Southwest Border Total,1981,749808
Southwest Border Total,1982,745820
Southwest Border Total,1983,1033974
Southwest Border Total,1984,1058276
Southwest Border Total,1985,1183351
Southwest Border Total,1986,1615844
Southwest Border Total,1987,1122067
Southwest Border Total,1988,942561
Southwest Border Total,1989,852506
Southwest Border Total,1990,1049321
Southwest Border Total,1991,1077876
Southwest Border Total,1992,1145574
Southwest Border Total,1993,1212886
Southwest Border Total,1994,979101
Southwest Border Total,1995,1271390
Southwest Border Total,1996,1507020
Southwest Border Total,1997,1368707
Southwest Border Total,1998,1516680
Southwest Border Total,1999,1537000
Southwest Border Total,2000,1643679
Southwest Border Total,2001,1235718
Southwest Border Total,2002,929809
Southwest Border Total,2003,905065
Southwest Border Total,2004,1139282
Southwest Border Total,2005,1171396
Southwest Border Total,2006,1071972
Southwest Border Total,2007,858638
Southwest Border Total,2008,705005
Southwest Border Total,2009,540865
Southwest Border Total,2010,447731
Southwest Border Total,2011,327577
Southwest Border Total,2012,356873
Southwest Border Total,2013,414397
Southwest Border Total,2014,479371
Southwest Border Total,2015,331333
Southwest Border Total,2016,408870
Southwest Border Total,2017,303916
Southwest Border Total,2018,396579
Southwest Border Total,2019,851508
