sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Laredo,2000,217946,NA,NA
Laredo,2001,174136,NA,NA
Laredo,2002,164190,NA,NA
Laredo,2003,141042,NA,NA
Laredo,2004,149412,NA,NA
Laredo,2005,150692,NA,NA
Laredo,2006,149680,NA,NA
Laredo,2007,113428,NA,NA
Laredo,2008,87316,NA,NA
Laredo,2009,81138,NA,NA
Laredo,2010,70574,3140,NA
Laredo,2011,72106,3216,NA
Laredo,2012,89744,5316,NA
Laredo,2013,101498,7590,3376
Laredo,2014,88098,7600,7182
Laredo,2015,71776,4918,2744
Laredo,2016,73124,5906,3280
Laredo,2017,50920,4066,1730
Laredo,2018,65282,5758,1194
