sector,fiscal_year,total_apprehensions
Rio Grande Valley,1960,5515
Rio Grande Valley,1961,6713
Rio Grande Valley,1962,5569
Rio Grande Valley,1963,9992
Rio Grande Valley,1964,9173
Rio Grande Valley,1965,8057
Rio Grande Valley,1966,8706
Rio Grande Valley,1967,9029
Rio Grande Valley,1968,10093
Rio Grande Valley,1969,14076
Rio Grande Valley,1970,20708
Rio Grande Valley,1971,28281
Rio Grande Valley,1972,29338
Rio Grande Valley,1973,37092
Rio Grande Valley,1974,38668
Rio Grande Valley,1975,31300
Rio Grande Valley,1976,38839
Rio Grande Valley,1977,38704
Rio Grande Valley,1978,45201
Rio Grande Valley,1979,41915
Rio Grande Valley,1980,35012
Rio Grande Valley,1981,32809
Rio Grande Valley,1982,32533
Rio Grande Valley,1983,57706
Rio Grande Valley,1984,66860
Rio Grande Valley,1985,82826
Rio Grande Valley,1986,121783
Rio Grande Valley,1987,71038
Rio Grande Valley,1988,60294
Rio Grande Valley,1989,79650
Rio Grande Valley,1990,97018
Rio Grande Valley,1991,87319
Rio Grande Valley,1992,85889
Rio Grande Valley,1993,109048
Rio Grande Valley,1994,124251
Rio Grande Valley,1995,169101
Rio Grande Valley,1996,210553
Rio Grande Valley,1997,243793
Rio Grande Valley,1998,204257
Rio Grande Valley,1999,169151
Rio Grande Valley,2000,133243
Rio Grande Valley,2001,107844
Rio Grande Valley,2002,89927
Rio Grande Valley,2003,77749
Rio Grande Valley,2004,92947
Rio Grande Valley,2005,134186
Rio Grande Valley,2006,110528
Rio Grande Valley,2007,73430
Rio Grande Valley,2008,75473
Rio Grande Valley,2009,60989
Rio Grande Valley,2010,59766
Rio Grande Valley,2011,59243
Rio Grande Valley,2012,97762
Rio Grande Valley,2013,154453
Rio Grande Valley,2014,256393
Rio Grande Valley,2015,147257
Rio Grande Valley,2016,186830
Rio Grande Valley,2017,137562
Rio Grande Valley,2018,162262
Rio Grande Valley,2019,339135
