sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Coastal Border Total,2010,16440,178,NA
Coastal Border Total,2011,13104,84,NA
Coastal Border Total,2012,7370,56,NA
Coastal Border Total,2013,6324,88,134
Coastal Border Total,2014,7884,130,250
Coastal Border Total,2015,6316,102,262
Coastal Border Total,2016,9326,96,232
Coastal Border Total,2017,7176,130,98
Coastal Border Total,2018,6494,112,96
