sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
San Diego,2010,68565,980,NA
San Diego,2011,42447,549,NA
San Diego,2012,28461,524,NA
San Diego,2013,27496,656,1576
San Diego,2014,29911,954,1723
San Diego,2015,26290,1084,1550
San Diego,2016,31891,1553,2863
San Diego,2017,26086,1551,2944
San Diego,2018,38591,2491,4408
San Diego,2019,58049,3335,16174
