sector,fiscal_year,total_apprehensions
San Diego,1960,3371
San Diego,1961,2279
San Diego,1962,3091
San Diego,1963,3768
San Diego,1964,4521
San Diego,1965,6558
San Diego,1966,13362
San Diego,1967,17844
San Diego,1968,24116
San Diego,1969,33311
San Diego,1970,50663
San Diego,1971,59375
San Diego,1972,73115
San Diego,1973,128889
San Diego,1974,196981
San Diego,1975,185499
San Diego,1976,266709
San Diego,1977,337195
San Diego,1978,325557
San Diego,1979,337930
San Diego,1980,285984
San Diego,1981,326836
San Diego,1982,314979
San Diego,1983,429121
San Diego,1984,407828
San Diego,1985,427772
San Diego,1986,629656
San Diego,1987,500327
San Diego,1988,431592
San Diego,1989,366757
San Diego,1990,473323
San Diego,1991,540347
San Diego,1992,565581
San Diego,1993,531689
San Diego,1994,450152
San Diego,1995,524231
San Diego,1996,483815
San Diego,1997,283889
San Diego,1998,248092
San Diego,1999,182267
San Diego,2000,151681
San Diego,2001,110075
San Diego,2002,100681
San Diego,2003,111515
San Diego,2004,138608
San Diego,2005,126904
San Diego,2006,142104
San Diego,2007,152460
San Diego,2008,162390
San Diego,2009,118721
San Diego,2010,68565
San Diego,2011,42447
San Diego,2012,28461
San Diego,2013,27496
San Diego,2014,29911
San Diego,2015,26290
San Diego,2016,31891
San Diego,2017,26086
San Diego,2018,38591
