sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Blaine,2000,5162,NA,NA
Blaine,2001,4178,NA,NA
Blaine,2002,3464,NA,NA
Blaine,2003,2760,NA,NA
Blaine,2004,2708,NA,NA
Blaine,2005,2002,NA,NA
Blaine,2006,1622,NA,NA
Blaine,2007,1498,NA,NA
Blaine,2008,1908,NA,NA
Blaine,2009,1686,NA,NA
Blaine,2010,1346,28,NA
Blaine,2011,1182,16,NA
Blaine,2012,1074,24,NA
Blaine,2013,720,16,60
Blaine,2014,544,6,32
Blaine,2015,564,4,74
Blaine,2016,542,6,58
Blaine,2017,576,14,122
Blaine,2018,718,12,136
