sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Del_Rio,2000,314356,NA,NA
Del_Rio,2001,209750,NA,NA
Del_Rio,2002,133970,NA,NA
Del_Rio,2003,100290,NA,NA
Del_Rio,2004,107588,NA,NA
Del_Rio,2005,137012,NA,NA
Del_Rio,2006,85272,NA,NA
Del_Rio,2007,45840,NA,NA
Del_Rio,2008,41522,NA,NA
Del_Rio,2009,34164,NA,NA
Del_Rio,2010,29388,2028,NA
Del_Rio,2011,32288,2226,NA
Del_Rio,2012,43440,3236,NA
Del_Rio,2013,47020,4270,1422
Del_Rio,2014,48510,6536,9900
Del_Rio,2015,38026,4570,4282
Del_Rio,2016,46156,5378,7098
Del_Rio,2017,26952,2698,4906
Del_Rio,2018,31666,2594,5658
