sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Swanton,2000,3914,NA,NA
Swanton,2001,4926,NA,NA
Swanton,2002,3472,NA,NA
Swanton,2003,3910,NA,NA
Swanton,2004,5402,NA,NA
Swanton,2005,3870,NA,NA
Swanton,2006,3088,NA,NA
Swanton,2007,2238,NA,NA
Swanton,2008,2564,NA,NA
Swanton,2009,2086,NA,NA
Swanton,2010,2844,20,NA
Swanton,2011,1630,18,NA
Swanton,2012,1404,10,NA
Swanton,2013,1062,8,126
Swanton,2014,1012,14,114
Swanton,2015,682,4,50
Swanton,2016,582,8,50
Swanton,2017,898,20,74
Swanton,2018,1472,30,179
